,index,Count
7,the,125
1,of,66
25,be,55
130,.,41
29,in,39
14,and,38
4,co2,37
128,et,32
129,al,32
2,temperature,30
27,to,26
3,on,22
6,at,22
8,Ketzin,22
15,seismic,19
28,reservoir,18
65,a,17
87,injection,14
68,well,13
9,site,12
16,datum,12
5,storage,12
184,2012,11
33,for,10
117,that,9
0,impact,9
152,m,9
10,base,9
109,mass,8
198,Fig,8
52,pressure,8
51,with,8
83,by,8
98,have,8
102,c,8
101,°,8
64,as,8
182,2010,8
194,approximately,8
149,inject,8
36,from,8
94,this,7
93,2009,7
54,-,7
13,simulation,6
88,survey,6
114,use,6
169,2011,6
346,Ivanova,6
23,4d,6
80,time,6
179,method,5
110,estimation,5
21,effect,5
49,it,5
81,lapse,5
90,2005,5
30,density,5
89,autumn,5
250,observation,4
103,38,4
84,mean,4
85,baseline,4
79,3d,4
188,an,4
91,first,4
92,monitor,4
105,we,4
246,surface,4
100,34,4
82,acquire,4
11,fluid,4
99,increase,4
20,significant,4
53,co,4
153,depth,4
330,both,4
12,flow,4
212,2,4
207,sandstone,4
161,perform,4
55,constituent,4
18,modeling,4
257,respectively,3
259,2007,3
111,two,3
126,e.g.,3
159,these,3
120,can,3
24,saturation,3
115,multiphase,3
262,2008,3
175,2004,3
138,situ,3
139,however,3
140,only,3
144,range,3
113,study,3
127,Kumar,3
147,pilot,3
69,know,3
59,/,3
216,not,3
57,phase,3
297,change,3
199,1,3
350,anomaly,3
209,Stuttgart,3
47,aquifer,3
46,saline,3
74,order,3
22,CO2,3
76,migration,3
210,Formation,3
44,property,3
58,behavior,3
263,after,2
370,image,2
334,reflection,2
357,direction,2
372,estimate,2
408,3,2
218,also,2
221,rock,2
223,quality,2
150,about,2
265,include,2
230,2006,2
157,system,2
180,monitoring,2
373,amount,2
158,Giese,2
181,Würdemann,2
399,logging,2
398,PNG,2
378,minimum,2
202,part,2
200,anticline,2
383,investigation,2
392,petrophysical,2
343,around,2
191,which,2
386,establish,2
146,geological,2
183,Martens,2
165,borehole,2
304,Spangenberg,2
266,Juhlin,2
60,brine,2
107,potential,2
106,investigate,2
428,m3,2
96,near,2
95,period,2
19,demonstrate,2
284,%,2
267,start,2
296,expect,2
50,along,2
112,scenario,2
298,due,2
45,during,2
43,influence,2
42,parameter,2
37,quantitative,2
303,Kummerow,2
34,high,2
32,low,2
31,considerably,2
108,response,2
229,Förster,2
272,kiloton,2
268,June,2
269,more,2
327,Chadwick,2
116,show,2
119,but,2
326,Arts,2
416,value,2
329,integrate,1
331,reveal,1
335,150ms,1
339,TWT,1
355,S,1
309,viability,1
354,250,1
353,extent,1
352,Ivandic,1
328,motivate,1
307,tool,1
356,N,1
308,ensure,1
336,900ms,1
306,essential,1
358,350,1
359,W,1
332,sequence,1
360,E,1
333,clear,1
361,delay,1
362,arrival,1
311,term,1
351,top,1
310,long,1
341,volume,1
342,subset,1
338,traveltime,1
322,successful,1
321,Bergmann,1
323,integration,1
324,analysis,1
325,Sleipner,1
337,way,1
344,22,1
345,25,1
319,Kempka,1
318,understanding,1
317,enhance,1
316,number,1
347,repeat,1
315,thus,1
314,Bryant,1
348,pronounced,1
349,amplitude,1
313,formation,1
312,safe,1
340,stack,1
