,index,Count
0,NOUN,311
8,PUNCT,120
2,ADP,106
1,ADJ,103
3,VERB,81
14,PROPN,71
4,DET,47
5,CCONJ,42
6,AUX,39
7,NUM,39
9,ADV,33
12,PRON,16
11,SCONJ,15
13,PART,10
10,SYM,3
15,X,3
