,index,Count
5,the,81
9,and,51
7,of,47
210,.,35
209,al,32
208,et,32
62,to,23
80,be,21
52,in,21
16,2,21
27,from,17
36,a,15
151,Osi,11
63,OAE,11
229,2008,11
130,with,10
64,an,9
40,that,9
2,isotope,9
30,for,8
29,section,8
44,as,8
164,on,8
10,ocean,8
135,sea,8
34,have,7
88,LIP,7
8,volcanism,7
212,study,7
100,this,6
168,change,6
116,oae,6
281,1,6
98,we,6
178,by,6
163,base,6
86,activity,6
68,onset,6
270,datum,5
54,profile,5
57,trend,5
59,value,5
3,stratigraphy,5
326,well,5
55,show,5
136,enhance,5
372,core,5
126,nutrient,5
231,Creaser,5
230,Turgeon,5
146,-,5
37,record,5
1,187os/188o,5
238,2013,5
257,these,5
87,Caribbean,4
96,anoxia,4
234,2011,4
85,suggest,4
133,global,4
134,epeiric,4
77,cenomanian,4
171,duration,4
191,carbon,4
283,Site,4
140,which,4
69,interval,4
0,marine,4
180,organic,4
18,high,4
48,input,4
66,unradiogenic,4
22,across,4
20,osmium,4
24,Turonian,4
370,Portland,4
15,Event,3
112,Western,3
259,different,3
371,#,3
380,WIS,3
253,level,3
246,increase,3
173,CTB,3
121,play,3
198,interpret,3
123,role,3
239,Zheng,3
382,Wunstorf,3
38,seawater,3
127,continental,3
14,Anoxic,3
33,setting,3
138,due,3
232,Voigt,3
108,Arctic,3
11,circulation,3
226,2007,3
165,GSSP,3
222,Arthur,3
19,resolution,3
153,drive,3
155,site,3
13,Oceanic,3
211,1987,3
411,Meyers,3
129,couple,3
67,at,3
107,High,3
274,representative,3
305,2000,3
310,kyr,3
289,control,3
58,radiogenic,3
280,fig,3
287,analysis,3
193,composition,2
430,between,2
225,Forster,2
224,2004,2
303,Ehrenbrink,2
218,neodymium,2
304,Ravizza,2
215,e.g.,2
187,correlate,2
214,proxy,2
345,early,2
308,time,2
190,excursion,2
344,late,2
323,evidence,2
325,weathering,2
206,1980,2
338,water,2
451,may,2
205,Jenkyns,2
341,similar,2
412,2012a,2
328,Snow,2
201,burial,2
199,reflect,2
329,2005,2
332,provide,2
302,Peucker,2
348,also,2
227,Mort,2
406,new,2
264,present,2
263,2012,2
271,two,2
262,Martin,2
260,Sageman,2
275,proto,2
255,rate,2
366,timing,2
358,prior,2
356,or,2
284,1260,2
355,Tegner,2
285,Furlo,2
286,additional,2
385,european,2
290,mass,2
293,Os,2
236,von,2
235,Pogge,2
387,shelf,2
388,Vocontian,2
389,Basin,2
395,2006,2
398,530,2
301,submarine,2
353,LIPs,2
351,associate,2
403,temporal,2
266,osi,2
241,mechanism,2
237,Strandmann,2
74,end,2
158,combine,2
148,basin,2
137,productivity,2
125,differential,2
122,critical,2
12,during,2
114,Seaway,2
113,Interior,2
111,occur,2
28,6,2
32,transcontinental,2
39,chemistry,2
101,hypothesis,2
41,demonstrate,2
97,here,2
92,source,2
90,Igneous,2
42,regional,2
43,variability,2
45,function,2
89,Large,2
83,previous,2
82,all,2
79,boundary,2
78,turonian,2
51,process,2
150,use,2
23,Cenomanian,2
4,reveal,2
170,constrain,2
462,syn,1
365,constraint,1
467,association,1
46,terrestrial,1
367,ambiguous,1
368,temporally,1
369,stratigraphic,1
466,its,1
465,refine,1
464,geochronology,1
463,remarkably,1
373,Global,1
374,Stratotype,1
375,Section,1
446,exchange,1
468,develop,1
377,near,1
378,Pueblo,1
379,Colorado,1
461,pre,1
460,comparison,1
381,Kennedy,1
459,additionally,1
383,Germany,1
384,nw,1
35,produce,1
386,pelagic,1
458,important,1
31,four,1
376,Point,1
469,furthermore,1
390,south,1
53,every,1
70,first,1
339,masse,1
340,report,1
65,abrupt,1
342,least,1
343,∼700,1
61,up,1
60,lead,1
346,relatively,1
347,connected,1
56,comparable,1
349,major,1
350,pulse,1
352,Provinces,1
364,since,1
472,concur,1
354,i.e.,1
50,palaeoenvironmental,1
49,impact,1
357,just,1
47,hydrothermal,1
359,however,1
360,largely,1
471,interpretation,1
361,understudy,1
470,our,1
362,lack,1
363,exposure,1
457,like,1
391,east,1
445,variation,1
432,600,1
421,chemo-,1
422,cyclostratigraphy,1
450,warming,1
423,can,1
424,succession,1
425,scale,1
426,confirm,1
427,estimate,1
428,c,1
429,characterize,1
6,interaction,1
431,500,1
449,terrigenous,1
433,2012b,1
419,age,1
434,investigate,1
435,multiple,1
436,over,1
448,modulate,1
437,∼1.8,1
438,myr,1
439,some,1
440,difference,1
441,depend,1
442,geographic,1
443,location,1
447,open,1
444,depositional,1
420,bio-,1
418,good,1
392,France,1
336,interconnectivity,1
393,Tethys,1
394,Grosheny,1
26,Interval,1
396,Jarvis,1
397,DSDP,1
25,Boundary,1
456,result,1
455,production,1
399,South,1
454,primary,1
400,Atlantic,1
401,most,1
402,refined,1
404,detailed,1
452,affect,1
405,biostratigraphy,1
21,os,1
407,radioisotopic,1
408,dating,1
409,astrochronology,1
410,chemostratigraphy,1
17,abstract,1
453,flux,1
413,Ma,1
414,submit,1
415,framework,1
416,correlation,1
417,similarly,1
337,oceanic,1
177,worldwide,1
335,realm,1
145,trans,1
139,availability,1
141,permit,1
142,penecontemporaneous,1
143,transport,1
228,MacLeod,1
144,derive,1
147,equatorial,1
152,infer,1
223,McArthur,1
149,highlight,1
221,phosphorus,1
220,tex86,1
219,lithium,1
217,calcium,1
233,Blättler,1
132,palaeocirculation,1
131,efficient,1
128,volcanogenic,1
124,initiation,1
240,determine,1
242,among,1
243,think,1
244,co2,1
245,output,1
120,collectively,1
247,land,1
248,surface,1
249,temperature,1
250,accelerate,1
251,hydrological,1
252,cycle,1
216,strontium,1
154,mechanism(s,1
334,about,1
175,period,1
194,matter,1
192,stable,1
172,introduction,1
174,extensive,1
189,positive,1
188,4‰,1
186,globally,1
213,numerous,1
185,mark,1
184,stratum,1
183,rock,1
182,sedimentary,1
181,rich,1
176,represent,1
195,δ13corg,1
196,carbonate,1
197,δ13ccarb,1
169,quantitatively,1
167,climate,1
200,massive,1
166,feedback,1
202,widespread,1
203,oxygen,1
204,deficiency,1
162,model,1
161,timescale,1
207,Schlanger,1
160,integrate,1
159,generate,1
157,δ13Corg,1
156,illustrate,1
119,factor,1
254,rise,1
118,combination,1
309,⩽10,1
316,monitor,1
315,excellent,1
314,187Os/188Os,1
313,make,1
312,2001,1
311,Oxburgh,1
307,residence,1
256,supply,1
306,short,1
81,synchronous,1
84,work,1
300,attribute,1
299,0.13,1
298,mantle,1
317,palaeoceanographic,1
318,geological,1
319,Cohen,1
320,particularly,1
321,where,1
322,there,1
76,above,1
324,accelerated,1
75,event,1
179,contain,1
327,volcanic,1
73,towards,1
72,return,1
330,Frijia,1
331,Parente,1
71,part,1
333,information,1
297,∼1.4,1
296,crust,1
295,weather,1
104,other,1
117,evaluate,1
258,support,1
115,before,1
261,1994,1
110,shift,1
265,initial,1
109,brief,1
267,upper,1
268,low,1
269,4,1
106,such,1
105,lip,1
272,previously,1
273,analyze,1
103,influence,1
294,component,1
276,north,1
277,atlantic,1
278,tethyan,1
279,margin,1
102,consider,1
282,ODP,1
99,assess,1
95,instigator,1
94,possibly,1
93,o,1
288,predominantly,1
91,Province,1
291,balance,1
292,member,1
473,Nd,1
