,index,Count
73,the,28
35,be,20
125,],15
32,in,15
121,[,14
20,a,13
9,of,9
69,and,9
6,cell,9
15,use,8
63,to,8
13,layer,8
5,solar,7
37,as,7
54,have,6
0,high,6
106,device,5
31,AALD,5
38,hole,5
55,electron,4
1,performance,4
83,with,4
123,-,4
127,polymer,4
7,by,4
2,inverted,4
130,BHJ,4
133,type,4
108,low,4
39,block,4
21,ZnO,4
182,8,3
170,cathode,3
105,organic,3
187,such,3
51,base,3
141,which,3
180,at,3
96,deposit,3
3,bulk,3
4,heterojunction,3
128,fullerene,3
12,zno,3
11,thin,3
163,anode,3
81,method,3
206,process,3
100,ambient,3
103,roll,2
84,some,2
86,literature,2
87,also,2
82,comparable,2
76,very,2
74,blend,2
134,n,2
201,their,2
196,10,2
116,cost,2
119,conventional,2
122,1,2
124,3,2
167,from,2
166,collect,2
165,contact,2
72,for,2
132,p,2
149,result,2
142,improve,2
211,"1,2",2
111,can,2
49,:,2
29,Layer,2
48,p3ht,2
17,atomic,2
19,abstract,2
52,these,2
56,mobility,2
23,200,2
25,film,2
30,Deposition,2
18,deposition,2
27,Atmospheric,2
28,Atomic,2
70,good,2
158,fabrication,1
173,side,1
181,electrode,1
153,"2,6",1
154,so,1
179,recombination,1
178,both,1
155,call,1
177,would,1
176,material,1
175,however,1
174,7,1
172,other,1
159,because,1
171,on,1
22,<,1
169,conduct,1
168,transparent,1
156,structure,1
183,this,1
157,ease,1
164,top,1
26,grow,1
162,function,1
161,work,1
160,stable,1
24,nm,1
71,wettability,1
184,overcome,1
212,electrodeposition,1
205,vacuum,1
10,dense,1
207,ALD,1
208,"12,13",1
209,sol,1
210,gel,1
8,incorporation,1
213,14,1
151,increase,1
214,while,1
215,attractive,1
216,commercialisation,1
217,photovoltaic,1
218,most,1
219,batch,1
220,limit,1
204,oxide,1
203,11,1
202,conductivity,1
14,make,1
185,insert,1
186,an,1
188,moo3,1
189,"8,9",1
190,v2o5,1
191,"8,10",1
192,wox,1
193,or,1
194,pedot,1
195,PSS,1
16,atmospheric,1
197,tio2,1
198,9,1
199,"3,7",1
200,due,1
152,photocurrent,1
146,large,1
150,significantly,1
97,under,1
91,storage,1
92,air,1
93,dark,1
94,graphical,1
95,highlight,1
58,+,1
98,5min,1
89,after,1
99,fast,1
57,3.4,1
101,that,1
102,compatible,1
104,processing,1
53,compact,1
90,day,1
88,maintain,1
148,area,1
79,atmosphere,1
68,light,1
67,visible,1
75,despite,1
66,transmittance,1
77,rapid,1
78,open,1
80,growth,1
59,0.1cm2,1
65,%,1
64,100,1
62,up,1
61,v,1
85,pcbm,1
60,/,1
107,report,1
50,PCBM,1
109,temperature,1
137,form,1
36,study,1
131,"4,5",1
34,minute,1
33,matter,1
135,intimately,1
136,mix,1
138,nanoscale,1
110,aald,1
139,interpenetrate,1
140,network,1
143,charge,1
144,separation,1
145,provide,1
147,interfacial,1
129,junction,1
40,poly(3,1
41,"hexylthiophene-2,5",1
126,efficiency,1
42,"diyl):[6,6]-phenyl",1
43,c61,1
44,buyric,1
45,acid,1
46,methyl,1
120,silicon,1
47,ester,1
118,alternative,1
117,scalable,1
115,promising,1
114,introduction,1
113,substrate,1
112,plastic,1
221,throughput,1
