,index,Count
57,the,120
41,of,77
13,be,53
5,in,53
6,set,43
49,and,39
9,information,36
10,system,32
0,incremental,31
19,a,28
124,],27
7,value,26
54,to,26
2,for,25
121,[,24
187,attribute,22
4,approximation,20
70,algorithm,20
79,on,20
14,an,16
99,base,16
17,knowledge,16
72,propose,16
275,rule,15
218,et,15
3,update,15
220,.,15
22,which,15
219,al,15
68,with,12
58,object,12
89,-,11
34,have,11
177,decision,10
146,RST,9
200,by,9
32,rough,8
241,when,8
91,reduction,8
81,data,8
46,two,8
67,compute,8
214,consider,7
204,method,7
61,time,7
137,as,7
268,updating,7
110,problem,7
1,approach,7
28,datum,7
43,can,7
20,dynamic,7
26,from,7
152,or,7
27,new,7
357,some,6
45,into,6
42,single,6
36,use,6
52,concept,6
128,many,6
261,since,5
132,principle,5
158,one,5
33,theory,5
196,generate,5
355,relation,5
458,section,5
64,we,5
63,paper,5
62,this,5
97,GrC,5
440,SOIS,5
8,order,5
287,not,5
247,change,4
16,technique,4
106,that,4
169,application,4
83,performance,4
188,table,4
48,disjunctive,4
213,under,4
69,variation,4
60,over,4
38,analysis,4
50,conjunctive,4
299,may,4
337,incomplete,4
205,add,4
40,model,4
270,matrix,4
59,vary,4
229,computation,3
403,valued,3
116,study,3
115,intelligence,3
376,dominance,3
149,deal,3
114,artificial,3
198,dynamically,3
221,develop,3
190,row,3
191,column,3
155,it,3
151,uncertain,3
206,re,3
208,original,3
136,such,3
144,Set,3
406,making,3
328,present,3
354,characteristic,3
360,domain,3
253,only,3
267,introduce,3
24,acquire,3
21,database,3
18,discovery,3
12,learning,3
366,discuss,3
74,furthermore,3
71,/,3
29,without,3
282,very,2
199,discover,2
302,then,2
291,alternative,2
279,REA,2
336,express,2
301,complete,2
237,positive,2
195,life,2
278,extraction,2
194,real,2
311,acquisition,2
324,interesting,2
186,form,2
397,mainly,2
401,important,2
174,especially,2
316,but,2
387,establish,2
272,delete,2
386,fuzzy,2
249,reduct,2
231,instead,2
369,fast,2
367,neighborhood,2
374,firstly,2
244,Wang,2
228,reduce,2
365,Zhang,2
246,entropy,2
378,p,2
379,dominate,2
252,however,2
352,Li,2
255,case,2
258,strategy,2
381,union,2
215,discretization,2
259,increase,2
262,core,2
212,topic,2
269,discernibility,2
210,do,2
238,region,2
265,exist,2
159,three,2
168,its,2
47,category,2
39,generalize,2
75,extensive,2
118,concern,2
119,more,2
44,classify,2
73,respectively,2
143,Rough,2
422,property,2
140,mining,2
78,out,2
122,3,2
139,6,2
123,5,2
56,while,2
51,fundamental,2
127,apply,2
131,notion,2
53,need,2
460,illustrate,2
156,also,2
130,basic,2
35,successfully,2
414,multi,2
109,process,2
15,efficient,2
88,non,2
105,tool,2
358,simultaneously,1
361,Chen,1
447,46,1
448,tolerance,1
350,effort,1
359,40,1
351,devote,1
449,focus,1
456,organize,1
