,index,Count
14,and,38
70,the,37
2,of,28
17,be,28
40,structure,19
102,],18
47,with,17
4,nitride,17
65,in,15
39,a,14
5,fluoride,14
42,to,13
16,have,11
61,compound,11
9,diffraction,11
6,by,11
30,-,11
124,report,10
7,powder,9
8,neutron,9
67,anion,9
52,Mg2NF,9
72,temperature,8
117,[,8
84,from,8
106,as,7
105,these,6
177,et,6
3,magnesium,6
178,al,6
69,order,6
179,.,5
33,Mg3NF3,5
34,cubic,5
36,group,5
92,f-,5
108,oxide,5
134,L,5
194,also,5
64,form,5
222,this,4
57,an,4
75,behaviour,4
206,for,4
66,which,4
82,polymorph,4
123,phase,4
191,type,4
116,n3-,4
12,ternary,4
19,solid,4
41,relate,4
201,crystal,3
81,low,3
95,metal,3
183,earth,3
195,Ca2NF,3
74,paramagnetic,3
73,independent,3
198,more,3
71,show,3
328,gap,3
154,isostructural,3
68,crystallographically,3
327,band,3
43,rock,3
44,salt,3
63,ionic,3
62,essentially,3
45,MgO,3
60,both,3
1,study,3
46,but,3
18,prepare,3
125,rocksalt,3
344,we,3
167,recently,3
48,one,3
315,on,3
143,observe,3
284,only,2
49,cation,2
50,site,2
272,3x,2
131,+,2
309,distribution,2
311,system,2
20,state,2
274,range,2
13,mg3nf3,2
270,solution,2
202,experiment,2
236,early,2
237,work,2
239,layer,2
10,abstract,2
218,double,2
215,simple,2
200,single,2
176,Ehrlich,2
196,measurement,2
107,pseudo,2
190,2,2
187,all,2
182,alkaline,2
180,produce,2
115,ion,2
141,high,2
232,Ba2NF,2
58,anti,2
87,exhibit,2
86,halide,2
83,determine,2
29,x,2
80,definitive,2
332,direct,2
31,ray,2
35,space,2
331,calculate,2
103,Andersson,2
88,weak,2
24,at,2
53,tetragonal,2
243,consist,1
265,rare,1
340,1.6ev,1
339,Mg3N2,1
261,chloride,1
262,bromide,1
338,semiconducte,1
337,eg=2.1ev,1
263,iodide,1
264,18,1
238,16,1
266,discover,1
260,usually,1
267,1970,1
345,synthesis,1
268,Tanguy,1
349,model,1
336,eg=3.6ev,1
356,conclusion,1
235,agreement,1
234,disordered,1
269,initially,1
343,23,1
348,detailed,1
244,close,1
252,comprise,1
245,pack,1
342,experimentally,1
242,17,1
246,arrangement,1
247,ba2,1
341,2.8ev,1
248,over,1
249,octahedral,1
250,interstice,1
251,alternate,1
253,either,1
259,octahedra,1
254,edge,1
255,share,1
357,bonding,1
256,nba6,1
257,or,1
271,LaNxF3,1
346,dimagnesium,1
347,provide,1
241,nafeo2,1
240,α,1
258,fba6,1
353,without,1
335,through,1
273,stability,1
302,Pr,1
303,indicate,1
304,existence,1
305,fluorine,1
329,insulate,1
306,interstitial,1
307,variation,1
326,decrease,1
308,stoichiometry,1
325,F,1
310,within,1
351,allow,1
312,likely,1
324,N,1
355,draw,1
313,profound,1
314,effect,1
352,establish,1
316,electronic,1
317,property,1
354,ambiguity,1
233,NaCl,1
318,limited,1
319,DFT,1
320,calculation,1
321,perform,1
322,Fang,1
301,Ce,1
300,Ln,1
330,MgF2,1
285,solubility,1
323,Mg,1
275,x=0.34,1
276,0.54,1
333,Eg,1
277,19,1
278,cerium,1
279,analogous,1
280,CeNxF3,1
281,otherwise,1
282,differ,1
283,La,1
350,their,1
286,x=0.33,1
299,excess,1
287,0.50,1
288,20,1
289,contrast,1
290,gadolinium,1
291,line,1
292,gd3nf6,1
293,21,1
294,pr3nf6,1
295,ce3nf6,1
296,22,1
297,fluorite,1
298,although,1
334,6.8ev,1
0,structural,1
231,barium,1
122,three,1
100,material,1
101,"1,2",1
104,refer,1
109,they,1
110,composition,1
111,derive,1
112,effectively,1
113,substitution,1
114,o2-,1
118,3,1
119,first,1
120,example,1
121,"4,5",1
126,MgO.,1
145,treat,1
127,N3-,1
128,F-,1
129,quarter,1
130,mg2,1
132,empty,1
133,fashion,1
135,ordered,1
136,contain,1
137,square,1
138,pyramidal,1
139,co,1
140,ordination,1
142,h,1
99,inorganic,1
98,class,1
97,unexplored,1
96,relatively,1
11,sample,1
15,mg2nf,1
21,reaction,1
22,mg3n2,1
23,mgf2,1
25,1323,1
26,1423,1
27,k,1
28,investigate,1
32,technique,1
37,pm3,1
38,m,1
51,vacant,1
54,i41,1
55,/,1
56,amd,1
59,LiFeO2,1
76,between,1
77,5,1
78,300k.,1
79,graphical,1
85,datum,1
89,highlight,1
90,ionicity,1
91,increase,1
93,content,1
94,introduction,1
144,after,1
146,pressure,1
230,equivalent,1
212,different,1
189,respective,1
192,11,1
193,Galy,1
197,12,1
199,recent,1
203,however,1
204,identify,1
205,alternative,1
207,some,1
208,Nicklow,1
209,13,1
210,under,1
211,slightly,1
213,condition,1
147,1100,1
214,same,1
216,cell,1
217,parameter,1
219,due,1
220,ordering,1
221,14,1
223,Sr2NF,1
224,15,1
225,progress,1
226,far,1
227,down,1
228,reveal,1
229,that,1
188,evidence,1
186,ba2nf,1
185,sr2nf,1
184,ca2nf,1
148,1350,1
149,°,1
150,c,1
151,25,1
152,30kbar,1
153,it,1
155,disorder,1
156,related,1
157,find,1
158,considerable,1
159,application,1
160,refractory,1
161,ceramic,1
162,6,1
163,catalyst,1
164,support,1
165,7,1
166,9,1
168,additive,1
169,firing,1
170,biomass,1
171,fuel,1
172,10,1
173,follow,1
174,discovery,1
175,investigation,1
181,further,1
358,magnetic,1
