,index,Count
1,the,90
38,and,50
12,of,47
21,to,36
4,diatom,36
190,.,27
60,in,26
57,a,25
189,al,23
188,et,23
19,be,18
104,silicic,15
105,acid,15
3,for,15
84,late,14
41,carbon,12
24,pco2,12
107,with,11
78,δ30si,10
88,ocean,10
28,that,10
14,Eocene,10
120,an,9
68,by,9
69,increase,9
33,silicon,9
63,have,8
85,eocene,8
238,this,8
7,antarctic,8
245,pump,7
125,concentration,7
8,glaciation,7
152,burial,7
75,sponge,7
100,Southern,7
101,Ocean,7
150,drive,7
363,supply,6
124,depth,6
244,biological,6
53,production,6
161,as,6
86,early,6
106,utilisation,6
15,Oligocene,6
71,organic,6
22,decline,6
96,at,5
327,2004,5
169,use,5
13,during,5
139,these,5
61,abundance,5
154,export,5
311,co2,5
65,drawdown,5
116,on,5
277,surface,5
42,through,5
259,phytoplankton,5
310,nutrient,5
47,today,5
51,%,5
344,water,4
335,ACC,4
27,mechanism,4
87,oligocene,4
95,productivity,4
147,-,4
89,cycle,4
90,provide,4
76,isotope,4
108,high,4
320,determine,4
174,facilitate,4
142,upwelling,4
257,2006,4
252,2009,4
276,from,4
49,up,4
324,efficiency,4
201,between,4
18,Oi1,4
64,contribute,4
331,circulation,4
20,link,4
127,latitude,3
148,current,3
123,intermediate,3
349,thus,3
356,opal,3
313,deep,3
149,may,3
151,proliferation,3
305,region,3
289,form,3
282,they,3
271,important,3
264,frustule,3
323,atmosphere,3
254,1999,3
251,Sorhannus,3
250,Rabosky,3
232,begin,3
215,Zachos,3
191,2005,3
182,when,3
164,ice,3
155,can,3
332,Antarctic,3
0,open,3
48,account,3
55,hypothesise,3
46,which,3
66,global,3
82,time,3
83,reconstruct,3
2,gateway,3
94,role,3
59,rise,3
36,both,3
73,marine,3
52,primary,3
11,onset,3
110,modern,3
261,1995,2
187,Coxall,2
193,Mackensen,2
296,2010,2
256,Martin,2
255,Scher,2
253,Salamy,2
70,proportion,2
186,Antarctica,2
361,eventually,2
300,2000,2
50,40,2
452,proxy,2
453,Fig,2
357,fig,2
32,biogenic,2
175,Diatom,2
34,cycling,2
433,2007,2
43,siliceous,2
380,degree,2
236,evidence,2
40,term,2
407,benthic,2
56,Late,2
231,2011,2
384,radiation,2
39,short,2
337,set,2
37,long,2
205,over,2
391,diversity,2
423,gradually,2
425,subsidence,2
283,relatively,2
30,remain,2
372,path,2
285,cell,2
432,Livermore,2
429,complete,2
336,play,2
98,site,2
25,level,2
9,abstract,2
97,ODP,2
141,suggest,2
321,magnitude,2
166,growth,2
138,Passage,2
137,Drake,2
136,Gateway,2
135,Tasman,2
134,pathway,2
343,upwelled,2
23,atmospheric,2
318,make,2
325,Marinov,2
326,Sarmiento,2
17,∼33.7ma,2
328,couple,2
480,Hendry,2
102,0.6‰,2
103,document,2
483,2b,2
16,Transition,2
339,wind,2
114,1.5‰,2
144,relate,2
113,concomitant,2
80,combine,2
153,associate,2
159,also,2
79,here,2
162,require,2
163,threshold,2
165,sheet,2
157,only,2
465,uptake,2
160,prior,2
93,into,2
355,band,1
340,south,1
385,development,1
386,type,1
352,other,1
338,balance,1
393,Palaeogene,1
353,create,1
387,substantially,1
350,fuel,1
354,marked,1
341,Polar,1
388,Glaciation,1
392,cretaceous,1
5,prime,1
389,originate,1
383,vent,1
342,Front,1
390,Jurassic,1
365,thermocline,1
381,escape,1
382,incomplete,1
348,transport,1
367,macronutrient,1
368,major,1
364,low,1
369,globally,1
345,advect,1
370,travel,1
371,alternative,1
346,northwards,1
347,Ekman,1
362,subducte,1
373,some,1
358,1,1
374,move,1
375,southwards,1
376,Bottom,1
377,Water,1
360,Ito,1
6,Earth,1
378,along,1
379,relative,1
366,amount,1
359,Speer,1
351,well,1
112,attain,1
394,decrease,1
456,preferentially,1
464,1997,1
463,Rocha,1
462,La,1
461,De,1
460,30ε∼-1.1‰,1
459,30si,1
458,28si,1
457,incorporate,1
455,because,1
395,shelf,1
454,2a,1
451,characterise,1
450,δ30si=[(30si/28si)sample/(30si/28si)standard-1]×103,1
449,record,1
448,end,1
447,correspond,1
446,deposition,1
445,diversification,1
466,broadly,1
467,reflect,1
468,although,1
469,previously,1
488,effect,1
487,resolution,1
486,constraint,1
485,bottom,1
484,constitute,1
482,2012,1
481,Robinson,1
479,ambient,1
478,dependent,1
477,factor,1
476,fractionation,1
475,spicule,1
474,knowledge,1
473,lack,1
472,hamper,1
471,convert,1
470,effort,1
444,affirm,1
443,develop,1
442,relationship,1
416,opening,1
413,concomitantly,1
412,place,1
411,take,1
410,enhance,1
409,indicative,1
408,δ13c,1
406,Lazarus,1
405,Schumacher,1
404,enhanced,1
403,species,1
402,explosion,1
401,culminate,1
400,second,1
399,witness,1
398,1989,1
397,Maliva,1
396,chert,1
415,particularly,1
417,two,1
441,Sijp,1
418,tectonic,1
440,progress,1
439,intensify,1
438,affect,1
437,would,1
436,shallow,1
435,even,1
434,Stickley,1
431,30.2ma,1
430,33.5,1
428,connection,1
427,35.5ma,1
426,50,1
424,initial,1
422,occur,1
421,flow,1
420,unimpeded,1
419,allow,1
414,Cramer,1
301,Smetacek,1
10,abrupt,1
194,1992,1
202,60,1
200,volume,1
199,emplacement,1
198,climate,1
197,linearity,1
196,non,1
195,typify,1
192,Ehrmann,1
334,Current,1
62,could,1
67,cooling,1
185,envelop,1
184,scale,1
183,continental,1
72,bury,1
181,condition,1
203,100,1
204,present,1
206,∼400ka,1
207,superimpose,1
222,cryosphere,1
221,response,1
220,model,1
219,numerical,1
218,accelerated,1
217,think,1
216,2001,1
58,sharp,1
214,2008,1
213,Lear,1
212,trend,1
211,cool,1
210,timescale,1
209,year,1
208,million,1
180,icehouse,1
179,mark,1
178,EOT,1
140,result,1
132,establishment,1
131,final,1
130,coincident,1
129,∼31.5ma,1
128,peak,1
99,1090,1
126,southern,1
109,near,1
122,doubling,1
121,approximate,1
119,track,1
118,Rise,1
117,Maud,1
111,value,1
115,689,1
133,deepwater,1
143,intensification,1
177,introduction,1
145,spin,1
176,before,1
173,acc,1
172,proto,1
171,fall,1
170,/,1
74,sediment,1
168,highlight,1
167,graphical,1
77,ratio,1
158,but,1
156,not,1
81,first,1
91,new,1
92,insight,1
146,circum,1
223,lowering,1
224,DeConto,1
225,Pollard,1
304,upwelle,1
302,secondly,1
299,Ragueneau,1
298,1998,1
297,Buesseler,1
295,Baines,1
294,settling,1
293,mass,1
292,aggregation,1
291,terminate,1
290,bloom,1
288,web,1
287,food,1
286,base,1
284,large,1
35,inextricably,1
303,75,1
306,world,1
280,ballast,1
307,'s,1
333,Circumpolar,1
330,overturn,1
329,unique,1
322,flux,1
26,yet,1
319,critical,1
317,community,1
316,resident,1
315,domination,1
314,resupplie,1
29,force,1
312,sequester,1
31,elusive,1
309,area,1
308,Nelson,1
281,material,1
279,silica,1
226,2003,1
248,potential,1
246,particular,1
54,it,1
243,unclear,1
242,gradual,1
241,responsible,1
240,however,1
239,hypothesis,1
237,support,1
235,stable,1
234,geological,1
233,∼2ma,1
230,Pagani,1
229,across,1
228,reconstruction,1
227,recent,1
247,represent,1
249,candidate,1
278,their,1
45,autotroph,1
275,efficiently,1
274,firstly,1
273,reason,1
272,number,1
270,notably,1
269,among,1
268,fundamentally,1
267,requirement,1
266,absolute,1
265,impose,1
263,opaline,1
262,formation,1
260,Tréguer,1
258,prolific,1
44,walled,1
489,upon,1
