,index,Count
1,NOUN,117
5,PUNCT,68
0,ADJ,64
2,ADP,56
7,DET,43
6,VERB,38
4,PROPN,28
3,CCONJ,16
9,ADV,13
13,NUM,10
11,AUX,9
10,PRON,7
8,PART,5
12,SCONJ,2
