,index,Count
0,NOUN,257
3,ADJ,118
2,PUNCT,110
1,VERB,89
5,ADP,83
8,DET,46
4,AUX,45
6,CCONJ,36
14,X,36
7,NUM,33
11,ADV,31
9,PART,20
13,PRON,19
10,PROPN,17
12,SCONJ,9
15,SYM,6
