,index,Count
2,NOUN,226
5,ADJ,102
6,PUNCT,101
3,ADP,100
0,VERB,87
8,PROPN,67
1,DET,49
9,AUX,36
7,ADV,33
4,CCONJ,29
10,NUM,16
11,PART,14
13,PRON,8
12,SCONJ,5
14,X,1
15,SYM,1
