,index,Count
0,the,104
2,of,73
23,be,57
5,and,39
8,in,37
191,et,33
192,al,33
193,.,33
6,perchlorate,30
16,to,29
21,soil,21
27,on,18
28,Mars,16
68,have,16
14,a,16
7,salt,15
199,at,14
10,atmosphere,12
92,that,11
9,martian,11
52,as,11
4,nitrate,10
3,sulfate,9
43,by,8
25,with,8
24,consistent,7
22,concentration,7
57,from,7
278,2013,7
31,form,7
86,gas,7
326,2010,7
79,give,7
119,terrestrial,6
114,this,6
305,Kounaves,6
41,or,6
39,for,6
1,formation,6
13,model,6
151,-,6
18,deposition,6
100,would,6
207,water,5
195,element,5
71,photochemical,5
137,however,5
105,if,5
253,global,5
156,Phoenix,5
73,use,5
117,%,5
51,such,5
37,atmospheric,5
50,Earth,5
345,sample,5
330,may,5
279,also,5
36,an,5
19,flux,5
30,acid,4
208,h2o,4
84,chlorine,4
53,Atacama,4
335,but,4
336,it,4
340,detection,4
90,time,4
76,rate,4
188,which,4
185,Viking,4
154,measure,4
17,calculate,4
142,phase,4
136,spectroscopy,4
213,some,4
334,experiment,4
66,oxyanion,4
245,analysis,4
258,site,4
257,evolve,4
56,surface,4
271,presence,4
247,thermal,4
268,location,4
439,organic,4
129,situ,3
131,rover,3
132,lander,3
263,2009,3
133,orbital,3
135,ray,3
349,pyrolysis,3
494,temperature,3
120,suggest,3
138,yet,3
343,mass,3
139,detect,3
277,Leshin,3
216,c,3
480,exploration,3
259,reveal,3
371,2011,3
210,carbonate,3
432,could,3
324,landing,3
332,sensitive,3
300,WCL,3
250,2,3
252,present,3
342,require,3
190,Clark,3
397,2005,3
479,human,3
160,amount,3
223,while,3
157,Lander,3
267,Rocknest,3
180,composition,3
359,then,3
69,because,3
513,Catling,3
58,dry,3
82,volcanic,3
44,other,3
508,one,3
77,nitrogen,3
98,typical,3
32,more,3
20,estimate,3
12,we,3
104,environment,3
107,impact,3
74,1,3
54,Desert,3
48,arid,3
65,similar,3
70,comparable,2
314,result,2
302,measurement,2
303,soluble,2
452,point,2
262,Boynton,2
206,bind,2
306,2010b,2
457,°,2
85,contain,2
45,process,2
264,Sutter,2
265,2012,2
89,over,2
317,Hecht,2
463,g,2
381,possible,2
187,VLs,2
510,build,2
184,fluorescence,2
412,relative,2
256,2003,2
522,work,2
243,component,2
240,magnesium,2
47,extremely,2
428,organism,2
249,show,2
429,exist,2
430,do,2
431,they,2
72,reaction,2
403,upon,2
230,how,2
288,SAM,2
401,these,2
320,mg(clo4)2,2
292,Laboratory,2
293,MSL,2
398,can,2
443,molecule,2
395,2004,2
419,well,2
183,x,2
55,accumulate,2
181,first,2
348,confirm,2
509,source,2
159,small,2
153,clo4-,2
535,difference,2
145,derive,2
143,oxidation,2
103,cold,2
141,purely,2
346,recently,2
347,mission,2
109,characteristic,2
163,condition,2
134,gamma,2
366,Gonzalez,2
365,Navarro,2
353,release,2
364,both,2
127,pernitrate,2
126,n,2
355,o2,2
115,average,2
358,all,2
162,compare,2
102,'s,2
40,preclude,2
329,ca(clo4)2,2
323,freezing,2
168,our,2
176,important,2
173,include,2
527,dimensional,1
406,certain,1
407,mg,1
383,ubiquitous,1
408,Al,1
375,albeit,1
409,K,1
537,photochemistry,1
367,subject,1
376,level,1
532,specie,1
530,reproduce,1
410,Ca,1
411,fe,1
377,<,1
529,pathway,1
380,various,1
413,silicon,1
414,positive,1
363,⩽1.6,1
415,correlation,1
362,volatilization,1
378,1ppm,1
405,ratio,1
384,alpha,1
373,meteorite,1
385,proton,1
391,Blake,1
531,profile,1
374,eeta79001,1
392,Bruckner,1
390,unit,1
393,Morris,1
533,several,1
394,Rieder,1
372,native,1
396,Yen,1
528,investigate,1
534,profound,1
389,inference,1
370,Bada,1
379,2014,1
399,local,1
388,lead,1
400,rock,1
369,Biemann,1
536,alter,1
368,debate,1
402,imprint,1
404,scale,1
387,vls,1
386,after,1
382,appear,1
497,oxidant,1
526,study,1
470,third,1
507,eventual,1
478,its,1
477,microorganism,1
476,advantageous,1
475,significant,1
474,discovery,1
473,nucleic,1
472,protein,1
471,fix,1
469,viable,1
416,cl,1
468,life,1
467,sufficient,1
466,activity,1
361,reanalysis,1
465,permit,1
464,per,1
511,up,1
512,Chile,1
514,Ericksen,1
506,return,1
481,complicated,1
505,resource,1
482,harmful,1
496,powerful,1
495,high,1
493,planetary,1
492,stable,1
491,kinetically,1
499,rocket,1
490,future,1
500,propulsion,1
501,Trumpolt,1
502,so,1
503,utilize,1
504,fuel,1
489,useful,1
488,hand,1
487,2002,1
486,Urbansky,1
485,ingest,1
484,toxic,1
483,potentially,1
462,∼0.02,1
461,Pestova,1
460,-75,1
438,donor,1
436,oxidize,1
435,reduce,1
434,energy,1
433,gain,1
498,suitable,1
426,Coates,1
425,anaerobic,1
424,bacteria,1
423,metabolism,1
422,reduction,1
520,oxic,1
421,habitability,1
521,same,1
420,relevant,1
523,evaluate,1
524,plausibility,1
418,Cl,1
417,s.,1
525,chemistry,1
437,electron,1
440,carbon,1
459,Grimm,1
441,ferrous,1
515,1983,1
458,Stillman,1
456,-57,1
455,eutectic,1
454,Gough,1
453,liquid,1
516,Antarctic,1
517,Dry,1
451,lower,1
450,significantly,1
518,Valleys,1
449,deliquescent,1
448,highly,1
447,second,1
446,inhibit,1
445,itself,1
444,indigenous,1
442,iron,1
519,2010c,1
427,Achenbach,1
269,Gale,1
360,furthermore,1
123,so42-,1
169,calculation,1
167,perchloric,1
166,volatile,1
165,low,1
164,cause,1
161,ozone,1
158,far,1
155,NASA,1
152,0.6wt.%,1
150,0.4,1
149,explain,1
148,magnitude,1
147,order,1
146,insufficient,1
144,volcanically,1
140,via,1
130,observation,1
128,peroxynitrate,1
125,0.4wt.%,1
170,imply,1
171,non,1
172,not,1
197,call,1
209,-oh,1
205,attribute,1
204,∼11,1
203,miss,1
202,∼89,1
201,sum,1
200,only,1
198,deep,1
196,what,1
174,heterogeneous,1
194,1977,1
189,absolute,1
186,Landers,1
182,determine,1
179,elemental,1
178,introduction,1
177,identify,1
175,likely,1
124,0.2,1
122,1.7wt.%,1
357,decomposition,1
121,1.0,1
75,d,1
67,should,1
64,isotope,1
63,oxygen,1
