,index,Count
1,NOUN,565
4,PUNCT,339
2,ADP,264
0,DET,227
3,ADJ,217
7,VERB,194
9,PROPN,181
11,CCONJ,85
10,NUM,81
12,AUX,71
13,ADV,66
6,PRON,56
14,SCONJ,47
8,PART,28
5,X,8
