,index,Count
2,NOUN,280
5,PUNCT,194
0,ADJ,154
6,PROPN,128
3,ADP,117
7,VERB,83
1,CCONJ,42
10,DET,41
8,NUM,39
11,AUX,28
13,ADV,21
4,SCONJ,12
12,PART,10
9,X,2
15,PRON,2
14,SYM,1
