,index,Count
2,NOUN,450
3,PUNCT,226
6,ADP,224
1,VERB,201
4,ADJ,177
5,DET,165
7,PRON,89
0,ADV,61
13,AUX,55
14,X,52
10,CCONJ,48
15,NUM,35
12,PART,33
9,SCONJ,29
8,PROPN,28
11,SYM,2
