,index,Count
2,NOUN,300
7,PUNCT,182
4,PROPN,167
3,ADP,158
0,ADJ,136
5,VERB,98
6,DET,97
9,AUX,45
1,CCONJ,41
8,NUM,41
11,ADV,25
12,PRON,17
10,PART,11
13,SCONJ,8
14,SYM,1
