,index,Count
23,the,64
12,of,44
32,be,36
3,model,34
28,machine,34
1,memory,33
46,and,31
0,a,25
79,algorithm,25
62,to,23
13,thread,23
8,core,20
52,in,19
26,on,18
38,performance,17
27,these,17
7,many,17
11,number,15
175,[,14
177,],14
4,for,14
87,that,13
55,we,13
5,highly,12
154,-,12
16,by,10
2,access,10
53,this,9
120,design,9
40,PRAM,8
63,capture,8
91,have,8
64,important,7
195,there,7
77,analyze,7
138,as,7
243,time,6
22,large,6
41,analysis,6
160,transfer,6
15,latency,6
25,program,6
14,hide,5
158,fast,5
124,work,5
93,pram,5
153,multi,5
241,take,5
137,such,5
173,or,5
19,context,5
110,use,5
45,not,5
31,well,5
304,share,4
259,therefore,4
162,from,4
215,do,4
33,if,4
39,predict,4
42,however,4
44,processor,4
60,which,4
94,our,4
248,hierarchy,4
95,different,4
48,both,4
136,device,4
139,gpu,4
84,path,3
267,also,3
194,while,3
155,with,3
104,enough,3
163,slow,3
185,other,3
100,dynamic,3
156,switch,3
101,programming,3
81,all,3
151,between,3
265,can,3
17,low,3
78,4,3
34,infinite,3
238,assume,3
130,it,3
37,provide,3
236,their,3
43,per,3
49,hardware,3
231,Machine,3
230,Access,3
226,most,3
225,various,3
249,modern,3
18,overhead,3
65,characteristic,3
66,since,3
67,some,3
122,significant,3
125,span,3
152,traditional,2
301,distribute,2
150,distinction,2
295,ignore,2
140,gain,2
297,each,2
29,depend,2
159,mechanism,2
205,systematic,2
242,unit,2
232,RAM,2
229,Random,2
228,sequential,2
217,target,2
216,aspect,2
214,assumption,2
256,count,2
206,theoretical,2
201,body,2
290,s,2
199,good,2
268,consider,2
269,cost,2
282,its,2
176,1,2
9,architecture,2
10,abstract,2
169,researcher,2
166,small,2
30,how,2
239,operation,2
105,validate,2
328,explicitly,2
111,empirical,2
319,one,2
103,'s,2
68,parameter,2
70,under,2
99,graph,2
71,more,2
92,same,2
332,principle,2
90,two,2
75,prediction,2
76,than,2
89,when,2
131,first,2
80,classic,2
83,short,2
113,an,2
85,problem,2
115,namely,2
50,algorithmic,2
20,switching,2
116,NVIDIA,2
266,lead,1
339,what,1
341,reach,1
338,exactly,1
244,predictor,1
264,locality,1
260,fact,1
263,temporal,1
262,spatial,1
261,exploit,1
326,amount,1
327,contrast,1
337,effect,1
340,require,1
342,point,1
245,computationally,1
258,simply,1
329,stall,1
257,instead,1
250,Aggarwal,1
333,matter,1
251,Vitter,1
252,propose,1
253,Disk,1
331,place,1
247,properly,1
325,minimize,1
334,long,1
335,should,1
330,schedule,1
246,intensive,1
254,DAM,1
255,22,1
336,able,1
303,35,1
275,analogue,1
324,measure,1
296,vagary,1
316,high,1
291,complete,1
315,multiprocessor,1
314,very,1
313,superficially,1
292,max(w,1
293,/,1
294,p,1
312,respective,1
311,property,1
318,only,1
298,seldom,1
299,hold,1
300,type,1
310,capability,1
309,particular,1
308,"41,42",1
307,combination,1
306,40,1
305,36,1
317,nominally,1
289,w,1
270,way,1
281,term,1
271,23,1
272,29,1
273,parallel,1
274,computing,1
276,Parallel,1
277,30,1
278,describe,1
279,"31,32",1
280,complexity,1
343,where,1
288,P,1
323,block,1
283,call,1
322,run,1
321,thread(,1
284,depth,1
285,critical,1
286,length)-the,1
287,give,1
320,constant,1
302,33,1
172,sorting,1
240,include,1
237,class,1
108,several,1
109,make,1
112,measurement,1
114,instantiation,1
117,GTX,1
118,480,1
119,highlight,1
121,system,1
123,factor,1
126,show,1
127,apply,1
128,effectively,1
129,circumstance,1
132,formalized,1
133,asymptotic,1
134,helpful,1
135,introduction,1
141,popularity,1
142,last,1
143,decade,1
144,AMD,1
145,manufacture,1
146,general,1
107,perform,1
106,intuition,1
102,Johnson,1
58,Memory,1
6,threaded,1
21,among,1
24,speedup,1
35,theoretically,1
36,could,1
47,constrain,1
51,limit,1
54,paper,1
56,introduce,1
57,Threaded,1
59,TMM,1
98,dense,1
61,mean,1
69,expect,1
72,fine,1
73,grained,1
74,accurate,1
82,pair,1
86,find,1
88,even,1
96,setting,1
97,example,1
147,purpose,1
148,fall,1
149,category,1
213,underlie,1
200,addition,1
202,16,1
203,20,1
204,no,1
207,interested,1
208,characterize,1
209,manner,1
210,rely,1
211,upon,1
212,represent,1
218,then,1
197,folk,1
219,predictive,1
220,real,1
221,over,1
222,year,1
223,computer,1
224,scientist,1
227,fundamental,1
233,21,1
234,teach,1
235,undergraduate,1
198,wisdom,1
196,lot,1
157,they,1
180,5,1
161,datum,1
164,often,1
165,global,1
167,typically,1
168,local,1
170,solve,1
171,interesting,1
174,hashing,1
178,linear,1
179,algebra,1
181,7,1
193,stay,1
182,"8,9",1
183,10,1
184,13,1
186,"14,15",1
187,project,1
188,generally,1
189,report,1
190,impressive,1
191,appear,1
192,here,1
344,get,1
