,index,Count
1,NOUN,202
2,ADP,81
3,PUNCT,70
5,VERB,64
4,DET,57
0,ADJ,42
8,AUX,28
12,PRON,17
6,NUM,12
7,PROPN,12
10,CCONJ,12
13,ADV,12
11,SCONJ,10
9,PART,9
14,X,8
