,index,Count
2,NOUN,132
1,PUNCT,97
3,ADP,55
4,VERB,42
5,ADJ,41
9,DET,37
8,CCONJ,30
14,X,26
6,PRON,23
7,ADV,19
12,NUM,19
0,PROPN,15
13,SCONJ,15
11,AUX,14
10,SYM,5
