,index,Count
13,the,42
5,and,18
2,of,16
1,model,16
23,flow,15
25,be,15
11,beach,15
3,swash,11
6,air,11
20,on,10
17,for,10
50,in,9
138,al,7
66,groundwater,7
22,surface,7
9,coarse,7
139,.,7
137,et,7
10,grained,7
54,infiltration,6
51,subsurface,6
0,numerical,6
18,bore,6
19,drive,5
26,use,5
82,to,5
31,water,5
63,unsaturated,5
61,pore,4
136,Steenhauer,4
8,within,4
70,with,4
124,process,4
45,as,4
74,laboratory,3
47,large,3
55,exfiltration,3
16,a,3
71,measurement,3
14,paper,3
119,result,3
78,simulation,3
21,permeable,3
196,section,3
33,NLSWEs,3
96,exchange,3
95,into,3
140,2011a,3
62,movement,3
7,entrapment,3
104,particular,2
91,have,2
73,scale,2
72,from,2
107,key,2
75,experiment,2
94,insight,2
87,law,2
111,pressure,2
157,2006,2
67,prediction,2
97,impact,2
101,front,2
60,horizontal,2
166,include,2
150,Dodd,2
133,part,2
46,well,2
192,compare,2
129,physical,2
15,present,2
29,linear,2
151,2008,2
28,-,2
118,experimental,2
153,account,2
99,between,2
141,commonly,1
165,few,1
209,summarise,1
142,Non,1
164,but,1
163,1993,1
143,Shallow,1
144,Water,1
154,Clarke,1
162,Kobayashi,1
145,Equations,1
161,Wurjanto,1
146,example,1
155,2004,1
147,such,1
159,Gent,1
148,review,1
158,Van,1
149,Brocchini,1
152,many,1
156,Lara,1
160,1994,1
177,investigation,1
167,Packwood,1
199,focusse,1
190,relevant,1
191,namely,1
193,detailed,1
194,organise,1
195,follow,1
197,2,1
198,describe,1
200,behaviour,1
188,this,1
201,3,1
202,give,1
203,an,1
204,assessment,1
205,capability,1
206,formulation,1
207,main,1
189,all,1
187,natural,1
168,1983,1
176,field,1
169,2011b,1
170,author,1
171,',1
172,knowledge,1
173,none,1
174,simulate,1
175,however,1
178,Horn,1
186,significantly,1
179,2002,1
180,recent,1
182,by,1
208,conclusion,1
183,show,1
184,that,1
185,can,1
181,study,1
105,highlight,1
135,wetting,1
59,ii,1
49,term,1
52,comprise,1
53,i,1
56,vertical,1
57,piston,1
58,like,1
64,region,1
44,steep,1
65,iii,1
68,good,1
69,agreement,1
76,immobile,1
77,these,1
79,velocity,1
48,source,1
43,handle,1
81,small,1
34,solve,1
4,motion,1
12,abstract,1
24,module,1
27,non,1
30,shallow,1
32,equation,1
35,Godunov,1
42,suitable,1
36,base,1
37,finite,1
38,volume,1
39,ader,1
40,scheme,1
41,which,1
80,sufficiently,1
83,justify,1
134,below,1
123,modelling,1
115,carry,1
116,out,1
117,consistent,1
120,two,1
121,contribute,1
122,understanding,1
125,introduction,1
113,up,1
126,generate,1
127,several,1
128,interact,1
130,over,1
131,face,1
132,initially,1
114,validation,1
112,build,1
84,Darcy,1
93,provide,1
85,'s,1
86,resistance,1
88,whereas,1
89,quadratic,1
90,Forchheimer,1
92,validate,1
98,entrap,1
110,filtration,1
100,wet,1
102,level,1
103,examine,1
106,we,1
108,mechanism,1
109,focus,1
210,4,1
