,index,Count
1,NOUN,406
2,ADP,229
4,PUNCT,203
0,DET,169
13,PROPN,158
3,ADJ,151
7,VERB,119
8,NUM,73
9,CCONJ,64
11,AUX,56
6,PRON,40
14,ADV,40
12,PART,21
10,SCONJ,20
5,X,1
