,index,Count
0,the,87
69,be,43
25,and,37
60,to,31
7,of,29
10,co2,28
8,a,22
2,storage,16
11,plume,16
21,for,14
14,shale,13
5,flow,12
101,have,11
39,in,11
144,that,10
3,site,10
48,-,9
125,by,9
15,barrier,8
85,from,8
137,this,8
66,gas,8
1,Sleipner,8
20,model,7
13,fracture,7
301,.,7
67,emission,6
16,within,6
299,et,6
300,al,6
18,Formation,6
128,as,6
17,Utsira,6
87,field,5
115,thin,5
118,seal,5
90,saline,5
239,formation,5
71,capture,5
291,m,5
4,capillary,5
22,with,5
170,injection,5
80,large,4
102,inject,4
73,carbon,4
72,store,4
227,at,4
26,mass,4
27,balance,4
367,thick,4
93,1,4
95,below,4
57,ice,4
165,caprock,4
34,an,4
126,seismic,4
133,which,4
44,pressure,4
127,survey,4
151,simulation,4
110,buoyant,4
147,geometry,3
86,condensate,3
206,climate,3
209,high,3
354,publish,3
320,fluid,3
107,into,3
91,aquifer,3
92,approximately,3
120,than,3
154,likely,3
94,km,3
230,or,3
146,match,3
257,more,3
164,behavior,3
114,eight,3
84,separate,3
207,change,3
38,result,3
37,Darcy,3
31,layer,3
58,sheet,3
49,fracturing,3
65,greenhouse,3
75,offshore,3
61,prevent,3
78,'s,3
9,layered,3
145,accurately,2
158,replicate,2
224,technology,2
329,2003,2
24,layering,2
279,nok,2
30,temperature,2
242,sea,2
162,enable,2
235,compress,2
262,2013,2
153,calibrate,2
375,Zweigel,2
376,2004,2
360,vertically,2
319,leakage,2
318,provide,2
36,not,2
174,rock,2
330,worldwide,2
176,overpressure,2
223,essential,2
6,modeling,2
203,similar,2
342,primary,2
343,containment,2
212,one,2
198,other,2
12,require,2
348,process,2
194,shallow,2
215,CCS,2
218,propose,2
189,sufficient,2
188,transient,2
183,deglaciation,2
357,reflection,2
181,mechanism,2
180,novel,2
179,date,2
43,threshold,2
313,extend,2
81,engineer,2
305,critical,2
62,ocean,2
50,pre,2
97,200,2
256,experiment,2
295,depth,2
117,top,2
266,around,2
53,on,2
132,monitoring,2
113,through,2
112,rapidly,2
111,ascend,2
54,rapid,2
109,1996,2
306,point,2
298,Chadwick,2
106,yr,2
105,/,2
96,surface,2
394,2006,2
121,three,2
252,supercritical,2
405,aspect,2
77,world,2
76,Norway,2
88,pore,2
310,overlying,2
390,numerical,2
45,indicate,2
415,observation,2
339,however,2
294,consider,2
260,during,2
68,it,2
63,acidification,2
333,because,1
285,$,1
304,close,1
331,candidate,1
337,common,1
303,condition,1
334,their,1
335,suitable,1
338,occurrence,1
336,volume,1
302,2008,1
332,sequestration,1
312,Group,1
297,environment,1
289,sandstone,1
314,seafloor,1
293,mbsl,1
315,predominantly,1
316,Fig,1
311,Nordland,1
317,expect,1
292,level,1
309,phase,1
290,800,1
308,become,1
288,tonne,1
286,65,1
321,over,1
322,several,1
323,millennium,1
324,i.e.,1
325,timescale,1
307,above,1
287,per,1
296,setting,1
326,offset,1
327,Lindeberg,1
328,Bergmo,1
381,laterally,1
340,uncertainty,1
407,understand,1
404,significant,1
403,morphology,1
402,dynamic,1
401,no,1
400,2007,1
399,Bickle,1
398,map,1
397,precisely,1
396,distribution,1
395,areal,1
