,index,Count
5,of,37
13,be,22
14,a,17
29,the,14
20,ok,11
7,integer,11
65,in,10
25,for,10
0,integral,10
3,over,10
28,subset,9
35,],9
1,value,8
33,if,8
32,that,8
30,we,8
9,degree,8
2,polynomial,8
59,this,7
19,ring,7
27,dense,7
6,algebraic,6
98,s,6
39,to,6
26,polynomially,6
50,and,5
103,OK,5
37,every,5
18,with,5
17,n,5
4,set,5
78,f(x,5
16,field,5
21,by,5
15,number,4
54,α,3
46,property,3
53,Z,3
110,have,3
23,criterion,3
108,see,3
41,then,3
83,such,3
114,[,3
67,which,2
70,equal,2
64,closure,2
76,α∈ok,2
106,it,2
80,say,2
85,usually,2
88,obviously,2
91,containment,2
104,call,2
121,only,2
111,general,2
141,p,2
112,reference,2
61,result,2
74,give,2
31,show,2
49,all,2
24,Gilmer,2
38,element,2
22,mean,2
12,k,2
11,let,2
40,an,2
52,f(α,2
47,hold,2
48,consider,2
124,Dedekind,1
123,characterize,1
122,one,1
10,abstract,1
120,ok)≑{f∈k[x]|f(s)⊂ok}=int(ok,1
116,also,1
119,int(s,1
118,there,1
117,contain,1
126,finite,1
115,1,1
113,so,1
109,cofinite,1
125,domain,1
60,second,1
127,residue,1
138,zero,1
146,follow,1
145,here,1
144,topology,1
143,adic,1
142,respect,1
8,bound,1
140,ideal,1
139,prime,1
137,-,1
128,6,1
136,non,1
135,state,1
134,9,1
133,way,1
132,McQuillan,1
131,elaborate,1
130,later,1
107,easy,1
129,his,1
36,map,1
34,h∈k[x,1
105,example,1
82,condition,1
81,on,1
79,at,1
77,evaluation,1
75,f∈k[x,1
51,f∈q[x,1
73,q,1
72,introduction,1
71,n.,1
69,mn(z,1
68,matrix,1
55,f(β,1
66,q[x,1
56,β,1
57,small,1
63,prove,1
62,establish,1
45,similar,1
84,form,1
44,h(ok)⊂ok,1
95,regard,1
58,than,1
102,S,1
101,f(s,1
100,k[x,1
99,any,1
97,proper,1
96,find,1
94,problem,1
86,denote,1
93,classical,1
92,x(x-1)/2,1
42,h(x,1
90,strict,1
89,int(ok)⊃ok[x,1
43,is,1
87,int(ok)≑{f∈k[x]|f(ok)⊂ok,1
147,theorem,1
