,index,Count
21,the,52
13,of,44
2,wind,34
3,farm,25
59,and,23
10,be,21
52,turbine,20
11,a,19
57,for,18
32,to,17
41,factor,16
140,in,16
113,output,15
6,with,14
62,load,12
101,that,11
7,age,11
24,by,10
46,this,9
167,have,8
87,at,8
65,'s,7
28,its,7
97,site,7
111,%,7
5,decline,7
4,performance,7
166,on,6
112,their,6
9,ageing,6
86,speed,6
34,availability,6
118,new,5
56,datum,5
63,from,5
64,UK,5
178,if,5
130,increase,5
99,we,5
14,life,5
20,generation,5
27,over,5
91,each,4
153,effect,4
19,power,4
132,cost,4
75,year,4
22,energy,4
198,than,4
92,account,4
53,use,4
190,could,4
177,report,4
96,individual,4
94,model,4
126,degradation,3
251,improve,3
237,which,3
105,machinery,3
117,when,3
235,give,3
78,high,3
124,design,3
84,estimate,3
243,old,3
103,other,3
125,level,3
242,would,3
220,month,3
133,electricity,3
47,paper,3
16,as,3
171,but,3
38,efficiency,3
226,they,3
29,lifetime,3
138,correct,3
26,decrease,3
150,all,3
23,produce,3
33,fall,3
31,due,3
49,rate,3
51,fleet,3
189,it,3
55,public,3
58,actual,3
61,ideal,3
66,282,3
1,do,2
114,per,2
248,relative,2
265,hour,2
252,so,2
184,low,2
168,consider,2
146,decade,2
143,study,2
131,levelised,2
183,will,2
141,weather,2
250,then,2
175,not,2
253,appear,2
181,capacity,2
123,different,2
127,reduce,2
188,great,2
80,resource,2
294,specific,2
201,significant,2
8,abstract,2
12,fact,2
219,normalise,2
227,require,2
36,or,2
40,these,2
231,confound,2
208,Hughes,2
48,reveal,2
207,recent,2
233,between,2
68,monthly,2
71,-,2
50,national,2
106,find,2
98,condition,2
104,rotate,2
85,hourly,2
102,similar,2
296,experience,2
100,confirm,2
239,example,1
225,industry,1
257,windy,1
258,occupy,1
223,represent,1
224,hurdle,1
256,good,1
259,first,1
260,one,1
261,build,1
228,replication,1
255,hand,1
229,several,1
238,capture,1
249,coefficient,1
230,can,1
254,really,1
232,relationship,1
246,poor,1
245,correlation,1
247,improvement,1
244,spurious,1
234,observe,1
241,time,1
236,dependent,1
263,domain,1
240,slightly,1
262,inferior,1
0,how,1
264,infer,1
266,every,1
299,small,1
300,predict,1
301,line,1
302,cause,1
303,loss,1
304,contribution,1
305,although,1
306,an,1
307,overview,1
308,potential,1
309,reason,1
310,discussion,1
311,conclusion,1
312,amount,1
313,processing,1
314,provide,1
315,online,1
316,supplementary,1
317,material,1
318,document,1
319,our,1
320,source,1
321,validation,1
322,depth,1
323,along,1
324,downloadable,1
325,dataset,1
298,much,1
297,present,1
295,unit,1
279,large,1
267,curve,1
268,ideally,1
269,technique,1
270,pattern,1
271,quality,1
272,validate,1
273,well,1
274,half,1
275,National,1
276,Grid,1
277,simulate,1
278,compare,1
280,portion,1
293,technology,1
281,last,1
282,4.5,1
283,gw,1
284,53,1
285,TWh,1
286,yield,1
287,set,1
288,measure,1
289,relate,1
290,vintage,1
222,finding,1
292,test,1
291,local,1
163,alike,1
221,variation,1
145,16,1
88,location,1
89,hub,1
90,height,1
93,particular,1
95,instal,1
107,lose,1
108,1.6,1
109,±,1
110,0.2,1
115,average,1
116,28.5,1
119,21,1
120,19,1
121,trend,1
122,consistent,1
128,12,1
129,twenty,1
134,9,1
135,graphical,1
136,highlight,1
137,accurately,1
139,variability,1
142,allow,1
83,NASA,1
82,make,1
81,assessment,1
44,highly,1
15,just,1
17,conventional,1
18,form,1
25,gradually,1
30,perhaps,1
35,aerodynamic,1
37,conversion,1
39,understand,1
42,however,1
43,complicate,1
45,variable,1
79,resolution,1
54,free,1
60,theoretical,1
67,record,1
69,period,1
70,2002,1
72,2012,1
73,cover,1
74,1686,1
76,operation,1
77,derive,1
144,onshore,1
147,possibly,1
218,13,1
148,wear,1
191,become,1
192,worthwhile,1
193,prematurely,1
194,replace,1
195,imply,1
196,economic,1
197,short,1
199,technical,1
200,far,1
202,policy,1
203,implication,1
204,desirability,1
205,invest,1
206,argue,1
209,Renewable,1
210,Energy,1
211,Foundation,1
212,REF,1
213,[,1
214,1,1
215,],1
216,suggest,1
217,5,1
187,too,1
186,plant,1
185,cumulative,1
161,battery,1
149,see,1
151,levelise,1
152,introduction,1
154,inevitable,1
155,kind,1
156,steam,1
157,gas,1
158,solar,1
159,pv,1
160,module,1
162,automobile,1
182,significantly,1
164,previous,1
165,work,1
169,reliability,1
170,component,1
172,any,1
173,impact,1
174,production,1
176,widely,1
179,also,1
180,know,1
326,history,1
