,index,Count
1,NOUN,424
5,PUNCT,205
2,ADP,203
8,DET,174
0,ADJ,165
7,VERB,119
3,PROPN,104
9,AUX,63
4,PART,43
11,ADV,41
6,PRON,39
13,NUM,37
12,CCONJ,30
10,SCONJ,22
15,SYM,6
14,X,3
