,index,Count
1,NOUN,302
4,PUNCT,144
2,ADP,140
9,VERB,117
0,DET,113
6,ADJ,110
5,PROPN,74
10,AUX,70
7,ADV,32
3,NUM,28
11,CCONJ,26
8,PRON,25
13,PART,24
12,SCONJ,17
14,X,2
15,SYM,1
