,index,Count
2,and,54
17,the,53
12,in,47
9,of,42
23,be,38
51,p,23
42,to,21
10,P,20
0,rhizosphere,20
79,plant,18
157,al,17
54,soil,17
158,.,17
156,et,17
6,as,16
16,specie,16
4,phosphatase,15
29,for,15
3,alkaline,14
1,acid,14
19,fynbo,14
7,a,13
5,activity,13
26,legume,12
109,that,11
120,by,11
14,Cyclopia,10
50,supply,9
102,organic,9
15,Aspalathus,9
11,nutrition,8
70,-,8
18,Cape,8
164,%,7
98,cutting,7
213,have,7
52,nutrient,7
28,use,6
63,high,6
211,low,6
40,this,6
97,from,6
101,seedling,6
106,these,5
77,bulk,5
80,available,5
83,shoot,5
84,level,5
59,or,5
99,show,5
220,Dakora,5
128,measure,5
133,increase,5
161,about,4
134,with,4
196,2012,4
81,concentration,4
225,Kanu,4
33,tea,4
100,than,4
207,availability,4
41,study,4
250,2011,4
179,2010,4
55,fynbos,4
319,mechanism,4
62,much,4
61,enzyme,4
153,root,4
127,we,4
154,uptake,3
149,many,3
141,mineral,3
89,relative,3
176,matter,3
96,develop,3
27,they,3
152,unavailable,3
155,Lambers,3
107,datum,3
261,n,3
290,example,3
289,genus,3
49,indicator,3
93,great,3
69,non,3
66,a.,3
308,linearis,3
309,contribute,3
326,formation,3
78,result,3
45,subternata,3
327,cluster,3
64,c.,3
216,enhance,3
232,while,3
364,herbal,2
264,1,2
272,biome,2
226,2007,2
274,between,2
147,phosphate,2
365,beverage,2
217,include,2
370,million,2
371,south,2
280,which,2
140,most,2
373,economy,2
136,over,2
159,2008,2
186,more,2
163,80,2
181,2003,2
180,Vance,2
243,pη,2
177,microbe,2
354,major,2
359,native,2
168,2009,2
313,1999,2
251,therefore,2
197,thus,2
300,only,2
199,on,2
298,24,2
292,281,2
361,some,2
166,form,2
165,occur,2
337,not,2
330,2013,2
316,little,2
212,both,2
372,african,2
112,but,2
24,important,2
46,caledonensis,2
31,Honeybush,2
105,together,2
108,suggest,2
110,can,2
67,compare,2
47,aspalathoide,2
48,an,2
114,so,2
30,make,2
25,economic,2
118,yield,2
35,cut,2
384,A.,2
57,at,2
21,Africa,2
71,Leucadendron,2
37,flower,2
87,each,2
60,Kanetberg,2
20,South,2
132,/,2
408,site,2
32,Rooibos,2
39,aim,2
53,poor,2
124,their,2
36,wild,2
410,Table,1
411,collection,1
317,know,1
315,however,1
314,Spriggs,1
375,Department,1
318,different,1
320,propose,1
321,mycorrhizal,1
311,annually,1
322,infection,1
323,symbiosis,1
324,Harrison,1
325,just,1
409,test,1
328,regard,1
329,way,1
312,Moufhe,1
302,Toit,1
310,100kgNha-1,1
412,relate,1
416,ultimately,1
281,fe,1
415,relationship,1
282,bound,1
283,Straker,1
284,1996,1
285,despite,1
286,constraint,1
287,rich,1
288,indigenous,1
414,trait,1
291,consist,1
293,endemic,1
294,Floristic,1
295,Region,1
296,Boatwright,1
297,Cupido,1
299,uniquely,1
413,biological,1
301,Du,1
303,1998,1
304,limitation,1
305,overcome,1
306,n2,1
307,fixation,1
407,sample,1
332,Lamont,1
406,comparison,1
394,suitable,1
356,far,1
357,information,1
358,exist,1
393,perceive,1
360,yet,1
392,among,1
391,http://www.busrep.co.za,1
390,Beer,1
362,importance,1
389,de,1
363,source,1
388,Joubert,1
387,r500,1
386,another,1
385,produce,1
383,Reinten,1
382,2000,1
381,Criley,1
366,emerge,1
367,income,1
368,earner,1
369,r12,1
380,export,1
379,similarly,1
378,Forestry,1
377,Fisheries,1
278,88,1
376,Agriculture,1
374,DAFF,1
355,acquisition,1
395,phytoremediation,1
405,track,1
396,there,1
331,Shane,1
404,finally,1
333,1982,1
334,fact,1
335,lineari,1
336,do,1
403,system,1
338,improve,1
402,achieve,1
339,also,1
401,environment,1
400,very,1
340,assimilation,1
341,other,1
342,such,1
343,Ca,1
344,K,1
345,Mg,1
346,Na,1
347,Al,1
348,Fe,1
399,underlie,1
349,Mn,1
350,Zn,1
351,Cu,1
352,clearly,1
398,understand,1
397,need,1
353,indicate,1
279,inorganic,1
209,2004,1
277,2,1
137,introduction,1
145,although,1
144,N.,1
143,after,1
142,growth,1
139,second,1
138,phosphorus,1
135,age,1
121,farmer,1
131,significantly,1
130,find,1
129,concurrently,1
126,highlight,1
125,plantation,1
123,instead,1
146,total,1
148,abundant,1
150,it,1
151,largely,1
160,because,1
162,20,1
167,Richardson,1
169,easily,1
170,insoluble,1
171,complex,1
172,cation,1
173,and/or,1
174,incorporate,1
175,into,1
178,Tran,1
182,even,1
183,where,1
122,when,1
119,obtain,1
185,fertilizer,1
56,whether,1
74,thyrsoidea,1
73,Elegia,1
72,strictum,1
68,those,1
65,genistoides,1
58,Kokrivier,1
44,genistoide,1
117,account,1
43,assess,1
38,industry,1
34,trade,1
22,abstract,1
13,nodulate,1
8,marker,1
75,Mimetes,1
76,cucullatus,1
82,well,1
85,closely,1
86,mirror,1
88,species,1
90,young,1
91,old,1
92,exhibit,1
94,again,1
95,p.,1
103,lead,1
104,take,1
111,good,1
113,less,1
115,enhanced,1
116,probably,1
184,apply,1
187,become,1
276,77,1
246,cleavage,1
254,natural,1
253,substrate,1
252,main,1
249,Nannipieri,1
248,acidic,1
247,ester,1
245,catalyze,1
236,earthworm,1
244,7,1
242,above,1
241,catalytically,1
240,function,1
239,1990,1
238,Neal,1
255,agricultural,1
256,ecosystem,1
257,characterize,1
258,ph3,1
259,5,1
260,especially,1
262,0.001,1
263,0.002,1
265,2mgng-1soil,1
266,0.00004,1
267,0.00037,1
268,0.4,1
269,3.7μgpg-1,1
270,Cramer,1
271,furthermore,1
273,contain,1
275,58,1
237,Hebrien,1
235,fungus,1
188,through,1
198,crop,1
205,land,1
204,arable,1
203,'s,1
202,world,1
201,40,1
200,30,1
195,Mόzner,1
234,bacteria,1
194,1997,1
193,Holford,1
192,immobilization,1
191,microbial,1
190,precipitation,1
189,adsorption,1
206,limit,1
208,Kochian,1
210,2006,1
214,various,1
215,strategy,1
218,acidification,1
219,exudation,1
221,Phillips,1
222,2002,1
223,secretion,1
224,extracellular,1
227,Makoi,1
228,Zhao,1
229,origin,1
230,Tarafdar,1
231,2001,1
233,secrete,1
417,link,1
