,index,Count
10,the,53
5,of,35
2,and,34
43,in,21
8,sediment,21
189,.,20
187,et,19
188,al,19
45,to,18
55,be,17
24,a,15
9,from,14
12,Indus,13
198,have,13
29,record,11
31,on,11
183,this,10
63,that,10
22,we,9
47,change,9
78,Holocene,8
65,with,7
153,climate,7
66,monsoon,7
1,weathering,7
38,analysis,6
75,during,6
99,as,6
13,Shelf,6
18,physical,6
143,well,5
41,core,5
26,-,5
20,property,5
95,increase,4
234,sea,4
51,since,4
49,transport,4
42,western,4
76,early,4
79,period,4
132,over,4
0,chemical,4
40,two,4
138,shelf,4
39,for,4
27,proxy,4
19,mineralogical,4
3,provenance,4
259,study,4
112,reworking,4
133,timescale,4
135,mineralogy,4
167,how,3
206,through,3
16,Sea,3
361,can,3
194,1999,3
15,Arabian,3
185,e.g.,3
88,not,3
82,hematite,3
83,/,3
84,goethite,3
67,high,3
166,understand,3
46,reconstruct,3
25,multi,3
161,sedimentation,3
7,recent,3
97,after,3
158,possible,3
48,intensity,3
276,River,3
248,2003,3
235,level,3
147,examine,2
149,marine,2
129,especially,2
134,composition,2
151,correlation,2
152,between,2
140,by,2
159,anthropogenic,2
168,affect,2
146,highlight,2
230,despite,2
191,Fagel,2
239,fact,2
384,complete,2
365,method,2
364,sample,2
351,supply,2
344,response,2
337,clay,2
296,flux,2
287,discharge,2
275,condition,2
273,more,2
254,source,2
253,impact,2
237,lack,2
192,1994,2
232,define,2
231,relatively,2
118,terrigenous,2
226,however,2
225,2012,2
224,Limmer,2
223,2006,2
217,2000,2
216,Sirocko,2
201,interest,2
196,2009,2
193,Colin,2
123,which,2
197,geochemical,2
61,smectite/(illite+chlorite,2
113,deposit,2
11,Western,2
30,base,2
23,present,2
14,Northern,2
60,fluctuation,2
54,Indus-10,2
89,show,2
56,locate,2
87,do,2
86,susceptibility,2
37,spectrophotometry,2
68,low,2
36,reflectance,2
85,magnetic,2
4,evolution,2
62,ratio,2
73,strong,2
94,both,2
115,or,2
50,variation,2
35,diffuse,2
80,maximum,2
96,at,2
114,prior,2
305,potential,1
302,~5ka,1
304,provide,1
306,archive,1
307,track,1
303,Possehl,1
117,2ka,1
308,river,1
309,relate,1
310,onshore,1
311,flood,1
312,plain,1
314,Glacial,1
315,Maximum,1
316,LGM,1
317,target,1
318,reflect,1
319,derive,1
320,oceanographic,1
321,upwelling,1
322,Gupta,1
313,Last,1
28,mineral,1
301,Civilization,1
283,1984,1
269,where,1
270,good,1
271,1947,1
272,under,1
34,diffraction,1
274,natural,1
33,ray,1
32,x,1
277,deliver,1
278,250,1
279,675milliontonnes,1
280,Delta,1
281,annually,1
282,Milliman,1
284,Giosan,1
300,Harappan,1
285,while,1
286,time,1
288,fall,1
289,sharply,1
290,because,1
291,damming,1
292,Inam,1
293,2007,1
294,it,1
295,some,1
324,Fleitmann,1
297,occur,1
298,start,1
299,agriculture,1
323,speleothem,1
330,evolve,1
