,index,Count
7,of,25
14,the,23
24,be,15
32,in,14
0,grain,13
4,and,13
1,boundary,11
63,to,8
10,high,7
22,by,7
104,as,7
34,with,7
66,for,6
49,a,6
41,from,6
31,dilatometry,5
113,material,5
101,SPD,5
2,excess,5
25,study,5
3,volume,5
100,deformation,4
48,growth,4
5,defect,4
33,combination,3
38,DSC,3
36,scanning,3
47,crystallite,3
67,Ni,3
53,or,3
82,temperature,3
223,obtain,3
30,difference,3
124,[,3
134,during,3
132,process,3
163,present,3
128,],3
222,result,3
64,that,3
18,ultrafine,3
20,Cu,3
109,produce,3
99,plastic,2
119,property,2
98,severe,2
93,this,2
80,at,2
114,these,2
162,vacancy,2
102,have,2
198,well,2
207,method,2
143,type,2
146,basic,2
90,diffusion,2
150,metal,2
35,differential,2
40,microscopy,2
12,torsion,2
11,pressure,2
19,grained,2
21,deform,2
23,HPT,2
44,associate,2
42,length,2
51,key,2
39,electron,2
54,expansion,2
37,calorimetry,2
8,copper,2
27,direct,2
6,annealing,2
43,change,2
173,suggest,1
172,kinetic,1
225,other,1
171,complex,1
175,anneal,1
174,"7,8",1
169,melting,1
176,abundant,1
177,highly,1
224,compare,1
170,"5,6",1
167,only,1
168,close,1
159,already,1
151,offer,1
152,opportunity,1
153,different,1
154,induce,1
155,their,1
156,mutual,1
157,interaction,1
158,it,1
160,show,1
226,above,1
229,pure,1
161,athermally,1
228,previously,1
164,concentration,1
227,mention,1
165,otherwise,1
166,find,1
179,may,1
178,mobile,1
215,face,1
180,example,1
181,agglomerate,1
199,often,1
200,also,1
201,denote,1
149,view,1
203,angle,1
204,9,1
205,purpose,1
206,experimental,1
208,apply,1
218,fcc,1
209,work,1
217,cubic,1
216,center,1
210,scan,1
211,SEM,1
212,subject,1
213,purity,1
219,cu,1
197,prior,1
220,ni,1
188,addition,1
182,form,1
214,sample,1
183,percolate,1
184,porosity,1
185,network,1
186,triple,1
187,junction,1
189,give,1
196,relaxation,1
190,access,1
191,physical,1
192,parameter,1
193,such,1
194,thermally,1
195,activate,1
221,novel,1
202,relax,1
115,make,1
148,point,1
62,similar,1
68,activation,1
69,energy,1
70,0.99±0.11,1
71,0.96±0.06ev,1
72,derive,1
73,Kissinger,1
74,analysis,1
75,datum,1
76,respectively,1
77,contrast,1
78,substantial,1
79,proceed,1
81,elevated,1
83,beyond,1
84,regime,1
85,dominant,1
86,light,1
65,measure,1
61,quite,1
147,physics,1
60,value,1
9,after,1
13,abstract,1
15,release,1
16,upon,1
17,recrystallization,1
26,mean,1
28,technique,1
29,precision,1
45,removal,1
46,wake,1
50,structural,1
52,quantity,1
55,egb=(0.46±0.11)×10,1
56,10,1
57,m,1
58,directly,1
59,determine,1
87,recent,1
88,finding,1
89,tracer,1
91,permeation,1
125,1,1
126,-,1
127,4,1
129,comprehensive,1
130,understanding,1
131,enhance,1
133,refinement,1
135,currently,1
136,major,1
137,research,1
138,topic,1
139,science,1
140,particular,1
141,role,1
142,various,1
144,widely,1
145,furthermore,1
123,.,1
122,Refs,1
121,e.g.,1
106,most,1
92,experiment,1
94,shrinkage,1
95,nanovoid,1
96,introduction,1
97,processing,1
103,establish,1
105,one,1
107,promising,1
120,see,1
108,route,1
110,bulk,1
111,even,1
112,nanocrystalline,1
116,exhibit,1
117,exceptional,1
118,mechanical,1
230,nickel,1
