,index,Count
0,NOUN,388
8,PUNCT,226
5,PROPN,176
3,ADP,173
2,ADJ,112
4,DET,81
6,VERB,80
1,CCONJ,63
14,NUM,61
7,AUX,45
12,ADV,42
10,PRON,27
9,SCONJ,14
11,PART,11
13,SYM,6
15,X,1
