,index,Count
13,the,25
6,in,17
8,of,17
19,be,16
2,and,13
4,field,13
5,dispersion,13
3,near,12
9,building,11
21,to,8
0,flow,6
27,effect,5
38,a,5
37,as,5
17,urban,5
24,strong,4
1,structure,4
36,fluctuation,4
35,concentration,4
74,source,4
51,aspect,4
127,such,4
44,mean,4
16,release,4
99,on,3
48,-,3
10,like,3
14,region,3
55,datum,3
18,area,3
123,geometry,3
110,for,3
62,around,3
31,material,3
50,these,3
111,model,3
52,document,3
73,secondary,2
88,we,2
70,very,2
77,affect,2
82,this,2
64,exert,2
103,their,2
150,.,2
149,al,2
94,direction,2
148,et,2
100,plume,2
145,where,2
60,relate,2
142,within,2
107,understand,2
108,process,2
109,important,2
114,well,2
137,Belcher,2
134,2009,2
61,underlie,2
63,find,2
15,localised,2
40,pattern,2
56,from,2
7,array,2
33,wake,2
32,into,2
34,enhance,2
11,obstacle,2
25,influence,2
43,time,2
49,gaussian,2
47,non,2
172,all,1
141,define,1
184,attempt,1
144,block,1
143,few,1
183,an,1
182,paper,1
146,conventional,1
185,simple,1
140,here,1
186,can,1
187,more,1
188,easily,1
139,particularly,1
138,2005,1
189,isolate,1
136,control,1
135,thereby,1
133,Coceal,1
132,Barlow,1
131,significantly,1
130,turbulence,1
129,trivial,1
147,fail,1
180,lack,1
181,present,1
173,experiment,1
174,central,1
175,London,1
171,height,1
170,8,1
169,6,1
168,dosage,1
167,background,1
176,but,1
166,above,1
165,report,1
164,Wood,1
163,recently,1
177,comprehensive,1
162,downstream,1
161,far,1
160,neglect,1
159,justifiably,1
178,understanding,1
158,usually,1
157,they,1
156,although,1
155,significant,1
154,become,1
153,characteristic,1
152,certain,1
151,2013,1
179,currently,1
128,modelling,1
95,layout,1
126,make,1
54,analyse,1
78,subsequent,1
76,then,1
75,which,1
72,rise,1
71,give,1
69,entrainment,1
68,lateral,1
67,streamline,1
66,diverge,1
65,over,1
59,simulation,1
58,numerical,1
57,direct,1
53,by,1
80,level,1
46,strongly,1
45,profile,1
42,variable,1
41,highly,1
39,result,1
30,trapping,1
29,upstream,1
28,include,1
26,individual,1
23,because,1
22,predict,1
20,difficult,1
12,abstract,1
79,high,1
81,also,1
125,contribute,1
104,magnitude,1
124,both,1
122,complexity,1
121,turbulent,1
120,nature,1
119,chaotic,1
118,terrorist,1
117,or,1
116,accidental,1
115,pollution,1
113,quality,1
112,air,1
106,introduction,1
105,quantify,1
102,map,1
83,intensity,1
101,spread,1
98,have,1
97,examine,1
96,location,1
93,wind,1
92,feature,1
91,dns,1
90,use,1
89,key,1
87,highlight,1
86,5,1
85,2,1
84,order,1
190,therefore,1
