,index,Count
2,the,28
1,of,18
9,in,13
5,to,12
41,and,9
6,a,8
17,magnetosphere,8
4,thermosphere,8
7,transient,7
10,solar,6
11,wind,6
80,increase,5
65,compression,5
49,or,4
66,cause,4
3,jovian,4
67,reversal,3
0,response,3
57,thermospheric,3
64,event,3
58,flow,3
48,shock,3
25,we,3
51,region,3
30,variation,3
98,for,3
56,current,3
20,be,3
101,expansion,3
120,main,3
18,ionosphere,3
19,coupling,3
141,rapid,2
124,by,2
123,emission,2
121,oval,2
59,heating,2
61,term,2
63,these,2
113,lead,2
54,expand,2
97,k,2
71,momentum,2
72,transfer,2
73,between,2
109,this,2
104,equatorward,2
83,ion,2
84,drag,2
88,energy,2
93,local,2
94,temperature,2
112,both,2
78,factor,2
53,compress,2
15,with,2
23,magnetospheric,2
12,pressure,2
43,auroral,2
26,present,2
36,global,2
38,model,2
28,study,2
128,modest,1
127,more,1
126,whilst,1
125,~4.5,1
13,abstract,1
122,uv,1
14,importance,1
119,process,1
130,%,1
118,deposit,1
117,dissipate,1
116,power,1
115,total,1
114,~2000tw,1
16,regard,1
21,often,1
111,transport,1
110,behaviour,1
129,37,1
132,shift,1
131,type,1
144,'s,1
154,25k.,1
153,>,1
152,result,1
151,reconfiguration,1
150,acceleration,1
149,due,1
148,large,1
147,from,1
146,angular,1
145,system,1
143,Jupiter,1
108,implication,1
142,affect,1
8,pulse,1
140,how,1
139,theoretical,1
138,highlight,1
137,latitude,1
136,°,1
135,1,1
134,up,1
133,position,1
22,neglect,1
105,develop,1
107,discuss,1
39,couple,1
35,symmetric,1
77,least,1
76,at,1
75,also,1
74,they,1
37,circulation,1
70,state,1
69,steady,1
68,respect,1
40,simple,1
34,azimuthally,1
42,fix,1
44,conductivity,1
62,aurora,1
45,our,1
60,cool,1
46,simulation,1
47,encounter,1
50,rarefaction,1
52,subsequently,1
79,two,1
81,Joule,1
106,wake,1
29,investigate,1
55,ensue,1
103,extended,1
102,case,1
24,physics,1
100,~-20and50,1
99,scenario,1
27,first,1
96,~-45and175,1
95,appear,1
92,whether,1
82,rate,1
91,on,1
90,depend,1
89,neutral,1
31,dynamic,1
87,kinetic,1
86,change,1
85,significantly,1
32,use,1
33,an,1
155,introduction,1
