,index,Count
3,NOUN,392
7,ADP,241
2,PUNCT,182
6,DET,169
5,VERB,152
0,ADJ,137
1,PROPN,119
9,X,89
14,NUM,60
4,PRON,59
11,AUX,37
8,CCONJ,29
10,ADV,29
13,SCONJ,21
12,PART,11
15,SYM,1
