,index,Count
7,the,130
8,of,83
26,be,47
5,magnetopause,42
62,and,33
169,.,31
168,al,31
167,et,31
9,a,31
72,in,31
1,wave,30
4,'s,29
3,Saturn,28
97,h,24
89,to,24
32,k,23
0,surface,22
2,on,22
23,at,20
38,dawn,20
34,instability,20
41,dusk,19
15,magnetosphere,18
28,that,17
44,this,14
25,have,13
49,by,12
77,for,11
80,with,11
84,asymmetry,11
42,we,11
39,side,10
17,an,10
151,as,9
149,boundary,9
243,plasma,9
10,planetary,9
20,solar,8
193,2009,8
126,study,8
21,wind,8
55,perturbation,7
13,transport,7
29,growth,7
179,these,7
76,evidence,7
322,LLBL,7
59,magnetospheric,6
148,flow,6
141,between,6
54,orientation,6
296,Masters,6
50,Cassini,6
159,Earth,6
234,vortex,6
47,datum,6
40,than,6
37,activity,6
123,which,6
253,2011,5
83,time,5
88,period,5
12,energy,5
100,mechanism,5
95,difference,5
117,hypothesize,5
213,can,5
110,both,5
60,magnetic,5
51,spacecraft,5
36,great,5
58,local,5
35,produce,5
14,into,5
24,it,5
175,e.g.,4
99,drive,4
46,use,4
286,not,4
163,see,4
94,propagation,4
18,important,4
250,2006,4
43,test,4
164,review,4
139,from,4
138,result,4
217,interface,4
53,crossing,4
131,predict,4
231,lead,4
308,present,4
78,tailward,4
130,across,4
326,layer,4
228,unstable,4
187,K,3
266,inner,3
261,2010,3
225,shear,3
135,form,3
158,base,3
134,often,3
268,although,3
119,need,3
121,our,3
122,understanding,3
124,will,3
155,one,3
85,phenomenon,3
48,take,3
324,-,3
398,dynamic,3
86,estimate,3
81,no,3
63,generally,3
381,simulation,3
284,however,3
61,field,3
346,recent,3
96,suggest,3
52,during,3
299,find,3
189,2004,2
269,large,2
185,Sibeck,2
194,reconnection,2
204,significantly,2
207,respect,2
351,clear,2
183,Song,2
358,affect,2
184,1988,2
360,well,2
361,additional,2
181,pressure,2
362,also,2
364,edge,2
402,observation,2
174,report,2
172,therein,2
429,scale,2
209,Mitchell,2
341,since,2
216,grow,2
344,create,2
277,Galopeau,2
259,dayside,2
257,rotation,2
278,1995,2
279,plausible,2
285,prediction,2
410,modulation,2
241,reveal,2
298,case,2
300,driver,2
240,attention,2
301,identify,2
237,subject,2
232,phase,2
171,reference,2
307,analysis,2
323,quasi,2
328,adjacent,2
329,planetward,2
334,2011a,2
337,could,2
340,thickness,2
275,expect,2
297,Cutler,2
218,two,2
106,radius,2
98,major,2
143,planet,2
19,aspect,2
107,rs,2
108,amplitude,2
16,represent,2
105,saturn,2
57,control,2
11,promote,2
102,theory,2
101,linear,2
70,oscillation,2
22,coupling,2
150,refer,2
75,strong,2
33,H,2
79,propagate,2
120,revise,2
30,Kelvin,2
161,most,2
87,dominant,2
31,Helmholtz,2
353,question,1
345,1999,1
356,intermediate,1
365,poorly,1
343,cross,1
355,addition,1
27,propose,1
363,become,1
64,53,1
45,hypothesis,1
354,whether,1
352,far,1
347,examination,1
348,able,1
