,index,Count
1,NOUN,288
12,PUNCT,174
5,PROPN,168
9,VERB,98
2,ADP,93
3,ADJ,78
7,CCONJ,62
0,DET,51
4,NUM,42
6,AUX,22
11,SCONJ,17
8,PRON,16
10,ADV,15
13,PART,6
