,index,Count
27,the,69
9,of,47
13,be,44
77,in,38
66,cloud,28
2,and,26
75,feature,26
8,a,25
1,bright,23
45,to,20
5,on,19
231,.,15
20,°,13
81,with,13
4,spot,13
115,image,12
210,these,11
17,2011,11
95,at,10
18,this,10
118,that,10
6,Uranus,10
55,near,9
230,al,9
229,et,9
22,find,9
29,methane,8
62,latitude,8
223,by,8
3,dark,8
21,n,7
16,October,7
31,level,7
125,companion,7
107,we,7
187,as,6
213,%,6
91,which,6
137,reach,6
228,Sromovsky,6
30,condensation,6
148,filter,6
12,brightness,6
259,Fig,6
26,above,6
94,obtain,5
76,observe,5
195,see,5
365,also,5
163,they,5
61,-,5
59,northern,5
32,second,5
87,observation,5
38,their,5
169,circulation,5
171,similar,5
53,reveal,5
167,associate,5
37,first,4
44,July,4
168,vortex,4
242,an,4
99,but,4
49,close,4
208,local,4
120,have,4
50,approach,4
10,high,4
108,later,4
33,deep,4
88,another,4
25,mb,4
14,discover,3
89,unusually,3
161,change,3
98,only,3
11,increase,3
96,Keck,3
250,2007,3
116,result,3
176,case,3
86,HST,3
142,altitude,3
40,drift,3
24,500,3
15,26,3
199,use,3
151,locate,3
43,from,3
51,Hubble,3
52,imaging,3
60,mid,3
304,range,3
132,nearly,3
203,camera,3
72,planet,3
41,rate,3
127,ever,3
128,both,3
23,about,3
80,2005,3
254,ii,2
146,H,2
153,while,2
331,such,2
166,nature,2
158,pressure,2
332,generate,2
165,orographic,2
162,suggest,2
255,NIRC2,2
164,possibly,2
160,morphological,2
156,∼500,2
0,episodic,2
170,perhaps,2
172,Great,2
226,1.2,2
224,one,2
222,reflect,2
221,light,2
351,Hammel,2
219,total,2
352,1989,2
353,think,2
209,contrast,2
234,even,2
205,1998,2
197,hemisphere,2
390,development,2
366,2009,2
243,fidb,2
371,over,2
339,'s,2
374,relate,2
184,longitude,2
336,flow,2
333,vertical,2
381,not,2
175,Neptune,2
174,Spot,2
173,Dark,2
145,ir,2
274,two,2
391,unknown,2
104,day,2
102,e,2
97,November,2
280,transient,2
281,same,2
90,23,2
85,Gemini,2
84,month,2
315,particle,2
79,2004,2
78,1999,2
74,very,2
73,30,2
313,ice,2
69,any,2
68,than,2
64,great,2
63,produce,2
288,almost,2
57,December,2
56,25,2
309,thus,2
47,lead,2
39,different,2
36,2,2
305,well,2
103,/,2
227,follow,2
266,k′,2
139,peak,2
270,take,2
269,however,2
395,further,2
264,h,2
272,29,2
273,more,2
123,before,2
112,opportunity,2
111,Target,2
262,4,2
410,investigation,2
398,study,2
109,determine,2
124,begin,2
348,zonal,1
349,wind,1
325,event,1
311,compose,1
319,condense,1
330,explanation,1
310,certainly,1
312,largely,1
329,likely,1
308,material,1
307,eruption,1
306,bar,1
328,Jupiter,1
303,300,1
302,absorption,1
326,qualitatively,1
344,it,1
347,shear,1
316,or,1
318,originally,1
317,coating,1
334,displacement,1
320,then,1
335,atmosphere,1
337,around,1
321,loft,1
327,thunderstorm,1
340,term,1
346,meridional,1
322,might,1
341,because,1
314,pure,1
342,travel,1
323,due,1
343,along,1
345,defiance,1
324,convective,1
338,displace,1
388,cause,1
350,profile,1
406,provide,1
413,Showalter,1
412,M.,1
411,ring,1
409,support,1
408,set,1
407,possible,1
405,2c,1
415,13,1
404,phenomenon,1
403,understanding,1
402,gain,1
401,possibility,1
400,offer,1
399,detail,1
414,PI,1
416,f845,1
354,lee,1
425,occur,1
431,our,1
430,structure,1
429,constraint,1
428,Opportunity,1
427,time,1
426,predict,1
424,motion,1
417,M,1
423,pursuit,1
422,describe,1
421,impel,1
420,brighten,1
419,b,1
418,2a,1
397,can,1
396,example,1
394,likewise,1
362,model,1
370,planetocentric,1
369,28,1
368,itself,1
367,2006,1
364,2001,1
363,Stratman,1
361,dynamical,1
393,all,1
360,verify,1
359,Smith,1
358,idea,1
357,mountain,1
356,downwind,1
355,wave,1
372,3,1
373,center,1
375,telescope,1
376,Narrow,1
377,Angle,1
378,NA,1
379,1c,1
380,though,1
382,configuration,1
383,1d,1
384,oval,1
385,although,1
386,evidence,1
387,strong,1
300,background,1
389,sudden,1
392,whether,1
301,hydrogen,1
216,integrate,1
299,scattering,1
155,generally,1
133,5month,1
134,tracking,1
135,vary,1
136,bs1,1
138,its,1
140,bs2,1
141,11,1
143,measurement,1
