,index,Count
2,NOUN,230
1,PUNCT,106
3,ADP,83
6,VERB,82
7,ADJ,75
4,DET,65
11,AUX,54
12,ADV,25
13,NUM,24
0,PROPN,23
8,PART,22
5,CCONJ,21
9,PRON,15
10,SCONJ,11
14,X,8
