,index,Count
26,the,63
3,of,45
24,be,44
13,in,29
52,and,26
18,to,24
29,a,24
11,set,19
21,technique,17
8,credit,14
9,scoring,14
6,for,13
55,will,12
81,class,11
10,data,11
22,that,11
73,classifier,9
33,as,9
14,this,9
169,have,8
75,their,8
25,use,8
4,classification,8
35,default,8
37,portfolio,7
129,with,7
120,from,7
74,test,7
40,low,6
208,which,6
109,AUC,5
196,literature,5
28,datum,5
27,analysis,5
82,imbalance,5
16,we,5
15,paper,5
160,on,4
217,some,4
138,k,4
66,random,4
59,gradient,4
67,forest,4
122,study,4
54,tree,4
53,decision,4
7,imbalanced,4
85,by,4
45,well,4
19,compare,4
76,performance,4
111,'s,4
36,loan,4
30,context,4
34,number,4
102,measure,3
117,difference,3
119,result,3
96,power,3
90,defaulter,3
121,empirical,3
116,significance,3
124,perform,3
125,very,3
0,an,3
137,discriminant,3
176,appropriate,3
259,2006,3
223,include,3
207,regard,3
205,they,3
200,ldp,3
195,research,3
184,make,3
183,could,3
87,under,3
139,near,3
168,institution,3
164,recent,3
152,payer,3
151,good,3
150,i.e.,3
348,recommendation,3
349,give,3
140,neighbour,3
175,most,3
351,Demšar,3
264,statistical,3
5,algorithm,3
49,regression,3
48,logistic,3
47,such,3
69,five,3
70,real,3
41,than,3
60,boosting,3
23,can,3
56,also,3
84,these,3
285,conduct,2
170,even,2
268,parametric,2
44,not,2
267,-,2
162,financial,2
159,bad,2
157,up,2
155,likely,2
154,who,2
153,those,2
266,non,2
50,neural,2
51,network,2
149,two,2
347,follow,2
144,aim,2
143,introduction,2
2,comparison,2
174,implement,2
286,various,2
177,it,2
288,life,2
289,then,2
237,but,2
232,lending,2
302,Benelux,2
278,apply,2
307,Credit,2
216,present,2
215,therefore,2
211,problem,2
311,at,2
17,out,2
276,provide,2
273,discrimination,2
198,risk,2
39,much,2
270,currently,2
199,or,2
42,observation,2
110,Friedman,2
106,operating,2
77,our,2
358,rank,2
80,increase,2
371,work,2
100,criterion,2
118,between,2
99,affect,2
104,area,2
105,receiver,2
361,finally,2
114,post,2
113,Nemenyi,2
64,vector,2
126,able,2
65,machine,2
115,hoc,2
108,curve,2
89,minority,2
135,c4.5,2
134,large,2
136,quadratic,2
265,linear,2
107,characteristic,2
62,square,2
63,support,2
61,least,2
78,experiment,2
309,publicly,1
295,%,1
294,5,1
296,original,1
297,70/30,1
306,German,1
298,/,1
305,Luxembourg,1
300,see,1
301,how,1
308,Australian,1
303,Belgium,1
293,decrement,1
304,Netherlands,1
382,further,1
299,split,1
374,explanation,1
292,reduce,1
369,begin,1
366,organisation,1
365,visualise,1
269,model,1
364,plot,1
363,diagram,1
271,unclear,1
272,improve,1
362,variant,1
274,table,1
275,1,1
277,selection,1
291,far,1
279,along,1
280,reference,1
281,show,1
282,report,1
283,application,1
284,hence,1
360,individual,1
310,available,1
359,employ,1
290,size,1
287,base,1
316,behavioural,1
370,review,1
333,all,1
377,describe,1
334,evaluate,1
335,term,1
336,without,1
372,topic,1
373,brief,1
376,secondly,1
337,distribution,1
338,misclassification,1
339,cost,1
356,robust,1
340,Baesens,1
341,et,1
342,al,1
355,simple,1
343,.,1
354,multiple,1
353,benchmarke,1
352,look,1
350,article,1
344,2003,1
345,inference,1
346,observe,1
367,section,1
332,investigate,1
312,UCI,1
331,thoroughly,1
381,draw,1
313,repository,1
357,average,1
314,http://kdd.ics.uci.edu/,1
315,fifth,1
375,ten,1
317,obtain,1
380,conclusion,1
318,log,1
379,discuss,1
378,thirdly,1
319,LDA,1
320,QDA,1
321,LS,1
322,SVM,1
323,NN,1
324,nn10,1
325,nn100,1
326,boost,1
327,especially,1
328,interested,1
329,usefulness,1
330,yet,1
368,2,1
192,percent,1
263,propose,1
163,climate,1
131,find,1
132,when,1
133,face,1
141,significantly,1
142,worse,1
145,essentially,1
146,classify,1
147,applicant,1
148,into,1
156,keep,1
158,repayment,1
161,current,1
165,Basel,1
128,comparatively,1
166,II,1
167,Accord,1
171,more,1
172,incentive,1
173,select,1
178,state,1
179,Henley,1
180,Hand,1
181,1997,1
182,company,1
185,significant,1
186,future,1
130,pronounced,1
127,cope,1
262,already,1
79,progressively,1
12,abstract,1
20,several,1
31,frequently,1
32,occur,1
38,usually,1
43,do,1
46,traditional,1
57,explore,1
58,suitability,1
68,prediction,1
71,world,1
72,build,1
83,each,1
123,indicate,1
86,randomly,1
88,sample,1
91,so,1
92,identify,1
93,what,1
94,extent,1
95,predictive,1
97,respective,1
98,adversely,1
101,choose,1
103,effect,1
112,statistic,1
187,saving,1
188,if,1
189,improvement,1
247,regulatory,1
234,Der,1
235,Burgt,1
236,2007,1
238,country,1
239,certain,1
240,retail,1
241,turn,1
242,majority,1
243,FSA,1
244,publication,1
245,conservative,1
246,estimation,1
248,concern,1
190,only,1
249,raise,1
250,about,1
251,whether,1
252,firm,1
253,adequately,1
254,asses,1
255,Benjamin,1
256,Cathcart,1
257,&,1
258,Ryan,1
260,wide,1
261,range,1
233,Van,1
231,specialised,1
230,category,1
229,sovereign,1
191,fraction,1
1,experimental,1
193,accuracy,1
194,however,1
197,consider,1
201,relatively,1
202,little,1
203,attention,1
204,pay,1
206,particular,1
209,score,1
210,underlie,1
212,LDPs,1
213,contain,1
214,small,1
218,may,1
219,successfully,1
220,handle,1
221,typical,1
222,example,1
224,high,1
225,quality,1
226,corporate,1
227,borrower,1
228,bank,1
383,outline,1
