,index,Count
36,and,52
9,to,45
29,the,44
22,be,42
18,in,37
1,of,34
5,Striga,30
57,.,26
4,millet,25
3,pearl,23
166,al,20
165,et,20
13,selection,20
39,resistance,17
2,a,17
7,genepool,15
144,for,14
236,have,11
20,Africa,10
34,yield,10
38,mildew,9
37,downy,9
113,%,9
52,control,9
54,hermonthica,9
48,variety,8
220,S.,8
11,cycle,8
12,recurrent,8
95,from,7
71,at,7
114,low,7
153,different,7
237,report,6
19,West,6
225,2004,5
91,with,5
253,or,5
232,2006,5
185,cereal,5
182,-,5
10,five,5
33,panicle,5
14,under,5
152,that,5
26,cultivate,5
101,Cinzana,4
301,gene,4
6,resistant,4
8,response,4
258,Haussmann,4
89,C5,4
68,this,4
154,need,4
99,Sadoré,4
239,cultivar,4
51,integrate,4
191,however,4
117,by,4
46,gain,4
369,allele,4
179,2008,4
177,2000,4
125,high,4
135,site,3
192,grain,3
87,FS,3
150,trait,3
206,as,3
222,major,3
167,2010,3
231,Gurney,3
94,experimental,3
106,progress,3
224,Wilson,3
100,Niger,3
242,Ejeta,3
102,Mali,3
171,crop,3
121,ASNPC,3
0,development,3
243,2007,3
143,location,3
325,plant,3
367,carry,3
364,population,3
41,genetic,3
292,sorghum,3
281,host,3
277,consider,3
47,derive,3
49,will,3
264,use,3
73,diversified,3
16,field,3
262,parasite,3
15,infest,3
245,several,3
244,Amusan,3
28,examine,3
368,potentially,2
183,region,2
361,each,2
180,arid,2
355,highly,2
163,],2
169,food,2
374,quantitative,2
375,wild,2
376,relative,2
332,susceptibility,2
157,validate,2
378,'s,2
393,cause,2
400,Thakur,2
147,interaction,2
354,both,2
202,soil,2
329,partially,2
298,seed,2
240,level,2
255,improved,2
234,up,2
266,method,2
274,can,2
226,about,2
293,maize,2
295,2001a,2
296,stimulation,2
299,germination,2
199,stress,2
304,SRN,2
317,2011,2
216,sub,2
207,disease,2
326,not,2
204,biotic,2
203,fertility,2
241,particularly,2
201,drought,2
265,single,2
233,loss,2
56,Benth,2
118,area,2
32,increase,2
77,Sclerospora,2
78,graminicola,2
79,Sacc,2
80,J.,2
81,Schroet,2
82,two,2
85,sib,2
86,family,2
96,previous,2
104,mostly,2
17,condition,2
105,significant,2
108,document,2
115,infestation,2
74,target,2
72,evaluate,2
69,study,2
60,Cenchrus,2
55,Del.,2
50,contribute,2
44,enable,2
141,combine,2
58,persistent,2
59,threat,2
61,americanus,2
42,variation,2
62,L.,2
63,Morrone,2
64,comb,2
65,nov,2
43,heritabilitie,2
66,production,2
116,measure,2
93,landrace,2
129,/,2
128,parent,2
126,compare,2
451,opportunity,1
360,result,1
359,which,1
358,specie,1
357,cross,1
356,out,1
433,ICRISAT,1
362,open,1
452,effectiveness,1
453,improve,1
353,complex,1
352,pathosystem,1
454,performance,1
351,fact,1
350,due,1
40,observe,1
35,striga,1
363,pollinated,1
348,information,1
450,unique,1
365,genotype,1
449,provide,1
366,therefore,1
448,subject,1
447,total,1
31,significantly,1
30,diversify,1
