,index,Count
1,NOUN,325
6,PUNCT,176
0,ADJ,137
2,ADP,125
7,PROPN,115
3,VERB,93
4,DET,72
5,CCONJ,44
9,NUM,38
10,ADV,34
11,PRON,22
8,AUX,21
12,PART,14
13,SCONJ,8
14,X,2
15,SYM,1
