,index,Count
0,NOUN,194
1,PUNCT,88
3,ADJ,86
4,ADP,76
5,DET,44
6,VERB,43
2,CCONJ,30
8,AUX,26
7,PROPN,24
14,X,23
10,ADV,16
9,NUM,15
12,PRON,12
11,SCONJ,3
13,PART,3
15,SYM,3
