,index,Count
1,NOUN,308
3,PUNCT,155
0,ADJ,113
2,ADP,99
5,DET,97
4,VERB,87
8,AUX,36
12,CCONJ,34
11,X,29
6,PROPN,25
9,NUM,25
10,ADV,25
7,SYM,15
13,PART,10
15,SCONJ,8
14,PRON,7
