,index,Count
1,NOUN,257
9,PUNCT,133
8,PROPN,108
3,ADP,106
4,ADJ,94
5,VERB,74
0,DET,42
6,CCONJ,39
10,AUX,38
12,ADV,29
14,NUM,22
2,SYM,19
7,PRON,9
11,PART,9
13,SCONJ,7
