,index,Count
2,NOUN,334
4,PUNCT,142
3,ADP,134
0,DET,108
1,ADJ,106
6,VERB,98
8,AUX,67
9,ADV,50
13,PROPN,44
5,PRON,38
11,CCONJ,31
7,PART,26
12,NUM,20
10,SCONJ,13
14,X,8
15,SYM,1
