,index,Count
2,NOUN,679
0,DET,308
3,ADP,290
8,PUNCT,287
1,ADJ,267
7,VERB,245
5,PROPN,180
9,AUX,83
11,CCONJ,70
12,NUM,65
4,ADV,53
10,PART,31
6,PRON,26
13,SCONJ,15
15,SYM,5
14,X,1
