,index,Count
0,NOUN,563
4,PUNCT,261
1,ADP,223
3,PROPN,201
7,VERB,149
8,ADJ,149
2,DET,143
6,AUX,64
10,NUM,64
5,CCONJ,58
11,ADV,49
14,PRON,28
9,PART,25
13,SCONJ,13
12,SYM,5
