,index,Count
2,NOUN,436
5,VERB,155
0,ADJ,152
3,ADP,146
4,PUNCT,126
8,DET,96
1,CCONJ,76
12,PRON,72
6,PROPN,43
9,ADV,43
13,NUM,37
14,X,34
7,AUX,31
11,PART,29
10,SCONJ,24
15,SYM,1
