,index,Count
0,NOUN,169
4,PUNCT,78
7,VERB,73
2,ADP,47
5,DET,45
3,ADJ,42
8,PROPN,33
6,ADV,24
11,AUX,24
9,PART,18
10,PRON,17
1,CCONJ,13
12,SCONJ,10
14,X,10
13,NUM,4
15,SYM,1
