,index,Count
1,NOUN,377
4,PUNCT,234
3,ADJ,203
2,ADP,186
6,VERB,132
8,PROPN,132
0,DET,120
9,AUX,69
11,NUM,58
10,CCONJ,50
7,ADV,43
5,PRON,39
12,SCONJ,27
13,PART,15
14,X,5
15,SYM,2
