,index,Count
1,NOUN,534
2,ADP,243
3,VERB,220
4,PUNCT,208
0,ADJ,180
6,DET,173
5,AUX,75
14,PROPN,73
15,X,54
9,NUM,52
10,CCONJ,48
8,ADV,47
7,PRON,34
11,PART,20
12,SCONJ,19
13,SYM,7
