,index,Count
2,NOUN,297
1,PUNCT,187
4,ADP,130
6,PROPN,106
8,VERB,97
0,ADJ,88
5,DET,68
11,NUM,48
7,AUX,39
13,ADV,39
3,CCONJ,29
9,SCONJ,21
10,PRON,17
12,PART,9
14,X,1
