,index,Count
1,NOUN,93
6,PUNCT,46
0,DET,42
4,VERB,36
2,ADP,33
3,ADJ,32
8,AUX,22
13,ADV,18
7,CCONJ,16
12,SCONJ,10
9,X,8
14,PRON,8
10,NUM,4
11,PART,4
5,PROPN,2
15,SYM,1
