,index,Count
0,NOUN,356
4,PUNCT,257
3,PROPN,240
1,ADP,153
5,ADJ,139
7,VERB,106
2,DET,71
8,AUX,58
11,CCONJ,58
6,NUM,56
10,ADV,31
14,PART,22
9,PRON,10
13,SCONJ,6
15,X,5
12,SYM,2
