,index,Count
0,NOUN,291
2,PUNCT,111
1,ADP,106
6,VERB,83
4,ADJ,64
3,DET,56
7,AUX,47
8,ADV,38
10,PRON,23
14,X,23
11,NUM,22
5,PROPN,21
9,CCONJ,18
12,PART,17
13,SCONJ,13
15,SYM,4
