,index,Count
0,NOUN,286
4,PUNCT,122
3,ADJ,104
1,ADP,98
2,VERB,88
8,DET,51
13,ADV,33
15,X,33
10,NUM,32
6,CCONJ,24
7,AUX,24
11,PRON,17
5,PROPN,10
12,SYM,9
14,SCONJ,7
9,PART,6
